# SN 2011fe observed spectrum
# Phase: +9.2 days from B-max (MJD 55814.0)
# t_exp: 26.5 days since explosion (MJD 55796.7)
# Instrument: Snifs
# Wavelength range: 3301.1 - 9700.9 Angstrom
wavelength_angstrom,flux_erg_s_cm2_angstrom
3822.2800,2.795352e-13
3824.6600,2.828079e-13
3827.0400,2.870853e-13
3829.4200,2.928665e-13
3831.8000,2.982894e-13
3834.1800,3.034426e-13
3836.5600,3.121411e-13
3838.9400,3.204421e-13
3841.3200,3.269409e-13
3843.7000,3.373869e-13
3846.0800,3.476388e-13
3848.4600,3.563131e-13
3850.8400,3.647626e-13
3853.2200,3.752111e-13
3855.6000,3.867290e-13
3857.9800,3.967277e-13
3860.3600,4.070404e-13
3862.7400,4.191525e-13
3865.1200,4.322627e-13
3867.5000,4.459160e-13
3869.8800,4.588679e-13
3872.2600,4.731978e-13
3874.6400,4.877974e-13
3877.0200,5.028035e-13
3879.4000,5.192924e-13
3881.7800,5.351155e-13
3884.1600,5.507849e-13
3886.5400,5.660738e-13
3888.9200,5.807176e-13
3891.3000,5.924149e-13
3893.6800,6.046768e-13
3896.0600,6.164546e-13
3898.4400,6.246373e-13
3900.8200,6.310163e-13
3903.2000,6.395676e-13
3905.5800,6.464243e-13
3907.9600,6.522215e-13
3910.3400,6.581836e-13
3912.7200,6.641479e-13
3915.1000,6.690819e-13
3917.4800,6.709388e-13
3919.8600,6.740774e-13
3922.2400,6.798136e-13
3924.6200,6.846158e-13
3927.0000,6.863275e-13
3929.3800,6.825609e-13
3931.7600,6.753638e-13
3934.1400,6.655813e-13
3936.5200,6.717834e-13
3938.9000,6.870511e-13
3941.2800,6.982790e-13
3943.6600,7.015996e-13
3946.0400,7.055838e-13
3948.4200,7.075796e-13
3950.8000,7.093061e-13
3953.1800,7.082856e-13
3955.5600,7.075684e-13
3957.9400,7.043808e-13
3960.3200,6.990500e-13
3962.7000,6.926040e-13
3965.0800,6.806522e-13
3967.4600,6.671217e-13
3969.8400,6.542942e-13
3972.2200,6.481974e-13
3974.6000,6.450520e-13
3976.9800,6.375426e-13
3979.3600,6.240509e-13
3981.7400,6.081994e-13
3984.1200,5.952436e-13
3986.5000,5.826456e-13
3988.8800,5.699721e-13
3991.2600,5.557536e-13
3993.6400,5.436172e-13
3996.0200,5.301222e-13
3998.4000,5.178755e-13
4000.7800,5.050273e-13
4003.1600,4.953405e-13
4005.5400,4.866529e-13
4007.9200,4.798947e-13
4010.3000,4.703817e-13
4012.6800,4.669131e-13
4015.0600,4.644869e-13
4017.4400,4.630182e-13
4019.8200,4.622121e-13
4022.2000,4.628482e-13
4024.5800,4.669283e-13
4026.9600,4.694547e-13
4029.3400,4.724779e-13
4031.7200,4.766023e-13
4034.1000,4.818012e-13
4036.4800,4.870106e-13
4038.8600,4.924010e-13
4041.2400,4.985844e-13
4043.6200,5.039756e-13
4046.0000,5.063011e-13
4048.3800,5.107726e-13
4050.7600,5.144077e-13
4053.1400,5.168815e-13
4055.5200,5.187148e-13
4057.9000,5.216363e-13
4060.2800,5.209831e-13
4062.6600,5.193187e-13
4065.0400,5.201749e-13
4067.4200,5.211371e-13
4069.8000,5.231900e-13
4072.1800,5.254998e-13
4074.5600,5.287475e-13
4076.9400,5.317195e-13
4079.3200,5.337129e-13
4081.7000,5.360570e-13
4084.0800,5.383616e-13
4086.4600,5.378547e-13
4088.8400,5.367266e-13
4091.2200,5.352579e-13
4093.6000,5.335335e-13
4095.9800,5.304028e-13
4098.3600,5.292009e-13
4100.7400,5.284893e-13
4103.1200,5.272364e-13
4105.5000,5.244032e-13
4107.8800,5.226417e-13
4110.2600,5.188078e-13
4112.6400,5.176798e-13
4115.0200,5.179082e-13
4117.4000,5.163238e-13
4119.7800,5.142034e-13
4122.1600,5.114426e-13
4124.5400,5.101874e-13
4126.9200,5.096654e-13
4129.3000,5.124399e-13
4131.6800,5.156976e-13
4134.0600,5.162865e-13
4136.4400,5.205205e-13
4138.8200,5.250638e-13
4141.2000,5.266232e-13
4143.5800,5.288716e-13
4145.9600,5.312418e-13
4148.3400,5.359294e-13
4150.7200,5.368262e-13
4153.1000,5.396720e-13
4155.4800,5.413154e-13
4157.8600,5.423094e-13
4160.2400,5.427155e-13
4162.6200,5.419458e-13
4165.0000,5.458783e-13
4167.3800,5.508780e-13
4169.7600,5.537487e-13
4172.1400,5.546253e-13
4174.5200,5.566593e-13
4176.9000,5.571331e-13
4179.2800,5.579870e-13
4181.6600,5.593736e-13
4184.0400,5.607953e-13
4186.4200,5.645563e-13
4188.8000,5.695908e-13
4191.1800,5.709870e-13
4193.5600,5.709172e-13
4195.9400,5.728515e-13
4198.3200,5.714193e-13
4200.7000,5.704957e-13
4203.0800,5.660898e-13
4205.4600,5.661710e-13
4207.8400,5.624595e-13
4210.2200,5.595190e-13
4212.6000,5.540592e-13
4214.9800,5.523991e-13
4217.3600,5.499124e-13
4219.7400,5.464500e-13
4222.1200,5.426333e-13
4224.5000,5.397290e-13
4226.8800,5.360033e-13
4229.2600,5.319714e-13
4231.6400,5.270475e-13
4234.0200,5.228110e-13
4236.4000,5.196063e-13
4238.7800,5.148327e-13
4241.1600,5.103449e-13
4243.5400,5.052894e-13
4245.9200,5.030236e-13
4248.3000,5.001454e-13
4250.6800,4.973928e-13
4253.0600,4.968720e-13
4255.4400,4.956693e-13
4257.8200,4.937494e-13
4260.2000,4.914829e-13
4262.5800,4.870987e-13
4264.9600,4.860728e-13
4267.3400,4.841169e-13
4269.7200,4.813765e-13
4272.1000,4.800454e-13
4274.4800,4.792109e-13
4276.8600,4.783048e-13
4279.2400,4.791037e-13
4281.6200,4.781689e-13
4284.0000,4.781008e-13
4286.3800,4.738490e-13
4288.7600,4.712418e-13
4291.1400,4.687282e-13
4293.5200,4.629786e-13
4295.9000,4.591017e-13
4298.2800,4.547092e-13
4300.6600,4.477226e-13
4303.0400,4.431006e-13
4305.4200,4.367154e-13
4307.8000,4.315663e-13
4310.1800,4.276704e-13
4312.5600,4.223177e-13
4314.9400,4.155891e-13
4317.3200,4.113478e-13
4319.7000,4.058807e-13
4322.0800,3.995893e-13
4324.4600,3.943216e-13
4326.8400,3.871752e-13
4329.2200,3.807613e-13
4331.6000,3.767160e-13
4333.9800,3.737845e-13
4336.3600,3.705391e-13
4338.7400,3.665920e-13
4341.1200,3.667384e-13
4343.5000,3.645661e-13
4345.8800,3.599371e-13
4348.2600,3.589898e-13
4350.6400,3.578513e-13
4353.0200,3.552092e-13
4355.4000,3.530953e-13
4357.7800,3.505423e-13
4360.1600,3.475904e-13
4362.5400,3.439798e-13
4364.9200,3.390464e-13
4367.3000,3.349496e-13
4369.6800,3.318106e-13
4372.0600,3.271682e-13
4374.4400,3.237865e-13
4376.8200,3.215085e-13
4379.2000,3.185488e-13
4381.5800,3.159232e-13
4383.9600,3.131594e-13
4386.3400,3.099267e-13
4388.7200,3.072239e-13
4391.1000,3.041066e-13
4393.4800,3.023658e-13
4395.8600,2.998618e-13
4398.2400,2.984586e-13
4400.6200,2.961318e-13
4403.0000,2.959386e-13
4405.3800,2.954992e-13
4407.7600,2.976004e-13
4410.1400,3.002153e-13
4412.5200,3.025214e-13
4414.9000,3.046839e-13
4417.2800,3.074684e-13
4419.6600,3.107438e-13
4422.0400,3.142891e-13
4424.4200,3.180084e-13
4426.8000,3.187395e-13
4429.1800,3.219680e-13
4431.5600,3.251868e-13
4433.9400,3.284116e-13
4436.3200,3.334151e-13
4438.7000,3.387039e-13
4441.0800,3.438535e-13
4443.4600,3.485213e-13
4445.8400,3.547484e-13
4448.2200,3.605241e-13
4450.6000,3.679623e-13
4452.9800,3.759585e-13
4455.3600,3.823745e-13
4457.7400,3.890040e-13
4460.1200,3.953592e-13
4462.5000,4.014190e-13
4464.8800,4.066395e-13
4467.2600,4.114843e-13
4469.6400,4.166677e-13
4472.0200,4.205898e-13
4474.4000,4.243927e-13
4476.7800,4.279339e-13
4479.1600,4.314028e-13
4481.5400,4.346307e-13
4483.9200,4.388077e-13
4486.3000,4.438773e-13
4488.6800,4.489733e-13
4491.0600,4.553137e-13
4493.4400,4.615270e-13
4495.8200,4.678728e-13
4498.2000,4.739800e-13
4500.5800,4.797552e-13
4502.9600,4.868683e-13
4505.3400,4.928490e-13
4507.7200,4.997058e-13
4510.1000,5.070203e-13
4512.4800,5.133732e-13
4514.8600,5.189909e-13
4517.2400,5.251323e-13
4519.6200,5.310945e-13
4522.0000,5.356443e-13
4524.3800,5.393796e-13
4526.7600,5.435479e-13
4529.1400,5.482675e-13
4531.5200,5.532649e-13
4533.9000,5.579529e-13
4536.2800,5.638575e-13
4538.6600,5.688860e-13
4541.0400,5.733312e-13
4543.4200,5.785126e-13
4545.8000,5.833235e-13
4548.1800,5.870909e-13
4550.5600,5.894727e-13
4552.9400,5.919447e-13
4555.3200,5.946017e-13
4557.7000,5.975992e-13
4560.0800,5.998737e-13
4562.4600,6.015348e-13
4564.8400,6.005348e-13
4567.2200,5.998452e-13
4569.6000,5.992792e-13
4571.9800,5.986453e-13
4574.3600,5.972561e-13
4576.7400,5.930904e-13
4579.1200,5.910745e-13
4581.5000,5.909988e-13
4583.8800,5.907827e-13
4586.2600,5.901856e-13
4588.6400,5.911900e-13
4591.0200,5.928684e-13
4593.4000,5.960454e-13
4595.7800,5.980902e-13
4598.1600,5.999667e-13
4600.5400,6.031702e-13
4602.9200,6.051298e-13
4605.3000,6.070493e-13
4607.6800,6.065396e-13
4610.0600,6.057755e-13
4612.4400,6.054067e-13
4614.8200,6.056692e-13
4617.2000,6.045435e-13
4619.5800,6.032573e-13
4621.9600,6.021997e-13
4624.3400,5.985546e-13
4626.7200,5.952201e-13
4629.1000,5.911529e-13
4631.4800,5.840053e-13
4633.8600,5.778059e-13
4636.2400,5.711317e-13
4638.6200,5.649081e-13
4641.0000,5.604591e-13
4643.3800,5.545077e-13
4645.7600,5.471986e-13
4648.1400,5.387833e-13
4650.5200,5.303916e-13
4652.9000,5.214911e-13
4655.2800,5.137467e-13
4657.6600,5.056762e-13
4660.0400,4.966062e-13
4662.4200,4.866835e-13
4664.8000,4.757217e-13
4667.1800,4.666875e-13
4669.5600,4.570587e-13
4671.9400,4.484264e-13
4674.3200,4.396424e-13
4676.7000,4.316042e-13
4679.0800,4.259548e-13
4681.4600,4.194963e-13
4683.8400,4.171822e-13
4686.2200,4.168157e-13
4688.6000,4.170582e-13
4690.9800,4.178416e-13
4693.3600,4.175771e-13
4695.7400,4.193906e-13
4698.1200,4.204000e-13
4700.5000,4.214776e-13
4702.8800,4.200440e-13
4705.2600,4.142570e-13
4707.6400,4.093905e-13
4710.0200,4.038958e-13
4712.4000,3.962418e-13
4714.7800,3.903050e-13
4717.1600,3.864910e-13
4719.5400,3.760957e-13
4721.9200,3.667254e-13
4724.3000,3.573495e-13
4726.6800,3.482034e-13
4729.0600,3.409638e-13
4731.4400,3.327222e-13
4733.8200,3.271926e-13
4736.2000,3.211787e-13
4738.5800,3.153068e-13
4740.9600,3.118548e-13
4743.3400,3.084039e-13
4745.7200,3.055316e-13
4748.1000,3.025048e-13
4750.4800,3.002479e-13
4752.8600,2.980993e-13
4755.2400,2.961370e-13
4757.6200,2.942742e-13
4760.0000,2.926053e-13
4762.3800,2.910770e-13
4764.7600,2.913931e-13
4767.1400,2.903397e-13
4769.5200,2.893820e-13
4771.9000,2.890648e-13
4774.2800,2.914283e-13
4776.6600,2.912389e-13
4779.0400,2.915699e-13
4781.4200,2.930269e-13
4783.8000,2.949747e-13
4786.1800,2.971737e-13
4788.5600,3.009982e-13
4790.9400,3.066197e-13
4793.3200,3.120369e-13
4795.7000,3.130576e-13
4798.0800,3.131131e-13
4800.4600,3.143103e-13
4802.8400,3.150882e-13
4805.2200,3.150312e-13
4807.6000,3.136567e-13
4809.9800,3.132932e-13
4812.3600,3.107090e-13
4814.7400,3.062554e-13
4817.1200,3.026241e-13
4819.5000,2.984898e-13
4821.8800,2.950524e-13
4824.2600,2.914676e-13
4826.6400,2.885811e-13
4829.0200,2.866774e-13
4831.4000,2.858804e-13
4833.7800,2.840305e-13
4836.1600,2.821485e-13
4838.5400,2.803611e-13
4840.9200,2.790215e-13
4843.3000,2.775830e-13
4845.6800,2.751811e-13
4848.0600,2.723607e-13
4850.4400,2.706491e-13
4852.8200,2.695751e-13
4855.2000,2.681191e-13
4857.5800,2.660666e-13
4859.9600,2.638805e-13
4862.3400,2.634931e-13
4864.7200,2.640521e-13
4867.1000,2.641059e-13
4869.4800,2.643543e-13
4871.8600,2.644401e-13
4874.2400,2.641369e-13
4876.6200,2.647659e-13
4879.0000,2.660485e-13
4881.3800,2.679650e-13
4883.7600,2.699382e-13
4886.1400,2.720411e-13
4888.5200,2.750623e-13
4890.9000,2.783260e-13
4893.2800,2.822353e-13
4895.6600,2.877602e-13
4898.0400,2.947062e-13
4900.4200,3.003223e-13
4902.8000,3.065897e-13
4905.1800,3.134916e-13
4907.5600,3.201508e-13
4909.9400,3.281107e-13
4912.3200,3.364747e-13
4914.7000,3.445180e-13
4917.0800,3.520517e-13
4919.4600,3.589975e-13
4921.8400,3.663055e-13
4924.2200,3.726362e-13
4926.6000,3.773944e-13
4928.9800,3.815507e-13
4931.3600,3.851129e-13
4933.7400,3.874402e-13
4936.1200,3.874257e-13
4938.5000,3.842073e-13
4940.8800,3.793423e-13
4943.2600,3.753016e-13
4945.6400,3.709254e-13
4948.0200,3.652764e-13
4950.4000,3.596734e-13
4952.7800,3.548916e-13
4955.1600,3.489886e-13
4957.5400,3.431119e-13
4959.9200,3.357963e-13
4962.3000,3.304289e-13
4964.6800,3.233117e-13
4967.0600,3.181640e-13
4969.4400,3.145452e-13
4971.8200,3.124409e-13
4974.2000,3.103586e-13
4976.5800,3.077821e-13
4978.9600,3.032465e-13
4981.3400,3.006673e-13
4983.7200,2.972602e-13
4986.1000,2.937136e-13
4988.4800,2.904431e-13
4990.8600,2.878539e-13
4993.2400,2.857611e-13
4995.6200,2.835429e-13
4998.0000,2.804272e-13
5000.3800,2.777674e-13
5002.7600,2.758892e-13
5005.1400,2.726823e-13
5007.5200,2.724230e-13
5009.9000,2.709115e-13
5012.2800,2.707139e-13
5014.6600,2.702967e-13
5017.0400,2.697294e-13
5019.4200,2.683559e-13
5021.8000,2.675585e-13
5024.1800,2.669120e-13
5026.5600,2.681495e-13
5028.9400,2.700762e-13
5031.3200,2.728263e-13
5033.7000,2.750496e-13
5036.0800,2.758432e-13
5038.4600,2.780639e-13
5040.8400,2.806643e-13
5043.2200,2.828041e-13
