# SN 2011fe observed spectrum
# Phase: +7.2 days from B-max (MJD 55814.0)
# t_exp: 24.5 days since explosion (MJD 55796.7)
# Instrument: Snifs
# Wavelength range: 3301.1 - 9700.9 Angstrom
wavelength_angstrom,flux_erg_s_cm2_angstrom
3301.0600,1.966056e-13
3303.4400,1.927942e-13
3305.8200,1.940141e-13
3308.2000,1.954082e-13
3310.5800,1.966892e-13
3312.9600,1.961433e-13
3315.3400,1.965844e-13
3317.7200,1.950090e-13
3320.1000,1.918317e-13
3322.4800,1.933479e-13
3324.8600,1.958636e-13
3327.2400,1.973847e-13
3329.6200,1.976451e-13
3332.0000,1.989874e-13
3334.3800,1.988837e-13
3336.7600,2.007824e-13
3339.1400,2.022018e-13
3341.5200,2.010557e-13
3343.9000,2.016953e-13
3346.2800,2.005257e-13
3348.6600,1.989718e-13
3351.0400,1.970532e-13
3353.4200,1.959334e-13
3355.8000,1.973318e-13
3358.1800,1.964996e-13
3360.5600,1.939201e-13
3362.9400,1.935862e-13
3365.3200,1.927774e-13
3367.7000,1.950970e-13
3370.0800,1.939112e-13
3372.4600,1.945555e-13
3374.8400,1.941225e-13
3377.2200,1.965135e-13
3379.6000,1.987524e-13
3381.9800,1.993269e-13
3384.3600,2.006391e-13
3386.7400,2.043906e-13
3389.1200,2.076282e-13
3391.5000,2.123545e-13
3393.8800,2.164164e-13
3396.2600,2.200687e-13
3398.6400,2.196421e-13
3401.0200,2.196215e-13
3403.4000,2.216717e-13
3405.7800,2.230573e-13
3408.1600,2.232389e-13
3410.5400,2.255775e-13
3412.9200,2.286094e-13
3415.3000,2.280521e-13
3417.6800,2.266356e-13
3420.0600,2.270309e-13
3422.4400,2.268776e-13
3424.8200,2.250812e-13
3427.2000,2.247714e-13
3429.5800,2.241259e-13
3431.9600,2.261420e-13
3434.3400,2.258348e-13
3436.7200,2.264914e-13
3439.1000,2.312185e-13
3441.4800,2.331105e-13
3443.8600,2.339722e-13
3446.2400,2.371199e-13
3448.6200,2.398876e-13
3451.0000,2.411772e-13
3453.3800,2.430546e-13
3455.7600,2.474421e-13
3458.1400,2.464165e-13
3460.5200,2.463479e-13
3462.9000,2.463067e-13
3465.2800,2.484231e-13
3467.6600,2.475756e-13
3470.0400,2.471033e-13
3472.4200,2.468816e-13
3474.8000,2.482161e-13
3477.1800,2.514925e-13
3479.5600,2.529644e-13
3481.9400,2.555451e-13
3484.3200,2.602059e-13
3486.7000,2.628268e-13
3489.0800,2.671827e-13
3491.4600,2.728772e-13
3493.8400,2.788097e-13
3496.2200,2.870956e-13
3498.6000,2.943152e-13
3500.9800,3.033139e-13
3503.3600,3.107584e-13
3505.7400,3.193251e-13
3508.1200,3.323997e-13
3510.5000,3.411836e-13
3512.8800,3.464240e-13
3515.2600,3.507759e-13
3517.6400,3.567418e-13
3520.0200,3.675535e-13
3522.4000,3.746464e-13
3524.7800,3.816660e-13
3527.1600,3.893504e-13
3529.5400,3.943179e-13
3531.9200,3.987003e-13
3534.3000,4.050981e-13
3536.6800,4.105786e-13
3539.0600,4.209951e-13
3541.4400,4.299220e-13
3543.8200,4.355929e-13
3546.2000,4.397566e-13
3548.5800,4.429186e-13
3550.9600,4.466213e-13
3553.3400,4.507728e-13
3555.7200,4.542081e-13
3558.1000,4.568453e-13
3560.4800,4.583282e-13
3562.8600,4.617313e-13
3565.2400,4.647225e-13
3567.6200,4.704813e-13
3570.0000,4.787742e-13
3572.3800,4.835995e-13
3574.7600,4.893209e-13
3577.1400,4.961881e-13
3579.5200,5.020347e-13
3581.9000,5.053440e-13
3584.2800,5.071716e-13
3586.6600,5.058193e-13
3589.0400,5.032208e-13
3591.4200,4.999584e-13
3593.8000,4.959362e-13
3596.1800,4.907233e-13
3598.5600,4.880752e-13
3600.9400,4.828276e-13
3603.3200,4.745538e-13
3605.7000,4.669206e-13
3608.0800,4.611725e-13
3610.4600,4.583477e-13
3612.8400,4.566500e-13
3615.2200,4.514224e-13
3617.6000,4.484522e-13
3619.9800,4.484913e-13
3622.3600,4.492680e-13
3624.7400,4.496747e-13
3627.1200,4.521488e-13
3629.5000,4.532607e-13
3631.8800,4.560856e-13
3634.2600,4.612378e-13
3636.6400,4.664258e-13
