# SN 2011fe observed spectrum
# Phase: +14.2 days from B-max (MJD 55814.0)
# t_exp: 31.5 days since explosion (MJD 55796.7)
# Instrument: Snifs
# Wavelength range: 3301.1 - 9700.9 Angstrom
wavelength_angstrom,flux_erg_s_cm2_angstrom
3301.0600,8.209898e-14
3303.4400,8.050351e-14
3305.8200,7.979530e-14
3308.2000,7.939007e-14
3310.5800,8.128479e-14
3312.9600,7.961428e-14
3315.3400,7.865231e-14
3317.7200,7.929431e-14
3320.1000,7.728851e-14
3322.4800,7.822739e-14
3324.8600,7.910136e-14
3327.2400,7.880567e-14
3329.6200,7.898950e-14
3332.0000,7.750580e-14
3334.3800,7.845015e-14
3336.7600,7.583890e-14
3339.1400,7.495668e-14
3341.5200,7.768697e-14
3343.9000,7.583796e-14
3346.2800,7.486525e-14
3348.6600,7.444741e-14
3351.0400,7.186642e-14
3353.4200,7.356686e-14
3355.8000,7.268205e-14
3358.1800,7.389601e-14
3360.5600,7.264774e-14
3362.9400,7.385488e-14
3365.3200,7.249111e-14
3367.7000,7.357019e-14
3370.0800,7.372595e-14
3372.4600,7.399089e-14
3374.8400,7.595607e-14
3377.2200,7.595481e-14
3379.6000,7.818298e-14
3381.9800,7.736732e-14
3384.3600,7.721994e-14
3386.7400,7.983462e-14
3389.1200,8.192341e-14
3391.5000,8.631191e-14
3393.8800,8.789428e-14
3396.2600,8.839315e-14
3398.6400,8.796107e-14
3401.0200,8.873890e-14
3403.4000,9.011826e-14
3405.7800,9.061705e-14
3408.1600,9.092239e-14
3410.5400,9.282566e-14
3412.9200,9.420042e-14
3415.3000,9.461428e-14
3417.6800,9.586228e-14
3420.0600,9.522886e-14
3422.4400,9.493170e-14
3424.8200,9.650022e-14
3427.2000,9.619459e-14
3429.5800,9.469371e-14
3431.9600,9.568069e-14
3434.3400,9.752071e-14
3436.7200,9.662889e-14
3439.1000,9.683873e-14
3441.4800,9.767346e-14
3443.8600,9.823416e-14
3446.2400,9.950055e-14
3448.6200,9.971352e-14
3451.0000,1.004146e-13
3453.3800,1.009689e-13
3455.7600,1.014336e-13
3458.1400,1.034362e-13
3460.5200,1.043732e-13
3462.9000,1.050611e-13
3465.2800,1.046399e-13
3467.6600,1.031859e-13
3470.0400,1.041768e-13
3472.4200,1.045969e-13
3474.8000,1.029252e-13
3477.1800,1.028785e-13
3479.5600,1.034912e-13
3481.9400,1.058887e-13
3484.3200,1.070001e-13
3486.7000,1.071669e-13
3489.0800,1.090528e-13
3491.4600,1.117228e-13
3493.8400,1.141164e-13
3496.2200,1.167482e-13
3498.6000,1.203785e-13
3500.9800,1.225089e-13
3503.3600,1.261129e-13
3505.7400,1.282034e-13
3508.1200,1.308969e-13
3510.5000,1.345448e-13
3512.8800,1.380507e-13
3515.2600,1.407295e-13
3517.6400,1.444865e-13
3520.0200,1.462072e-13
3522.4000,1.478561e-13
3524.7800,1.497869e-13
3527.1600,1.504904e-13
3529.5400,1.503285e-13
3531.9200,1.492259e-13
3534.3000,1.523226e-13
3536.6800,1.537732e-13
3539.0600,1.558734e-13
3541.4400,1.591163e-13
3543.8200,1.604784e-13
3546.2000,1.633985e-13
3548.5800,1.654231e-13
3550.9600,1.676262e-13
3553.3400,1.678276e-13
3555.7200,1.689508e-13
3558.1000,1.698094e-13
3560.4800,1.691061e-13
3562.8600,1.685955e-13
3565.2400,1.691915e-13
3567.6200,1.704898e-13
3570.0000,1.710132e-13
3572.3800,1.726578e-13
3574.7600,1.748781e-13
3577.1400,1.758200e-13
3579.5200,1.768545e-13
3581.9000,1.787379e-13
3584.2800,1.803345e-13
3586.6600,1.808652e-13
3589.0400,1.804248e-13
3591.4200,1.788943e-13
3593.8000,1.791713e-13
3596.1800,1.787742e-13
3598.5600,1.768015e-13
3600.9400,1.749923e-13
3603.3200,1.725846e-13
