# SN 2011fe observed spectrum
# Phase: +4.2 days from B-max (MJD 55814.0)
# t_exp: 21.5 days since explosion (MJD 55796.7)
# Instrument: Snifs
# Wavelength range: 3301.1 - 9700.9 Angstrom
wavelength_angstrom,flux_erg_s_cm2_angstrom
3301.0600,2.559979e-13
3303.4400,2.536077e-13
3305.8200,2.542628e-13
3308.2000,2.562434e-13
3310.5800,2.572374e-13
3312.9600,2.584067e-13
3315.3400,2.603700e-13
3317.7200,2.641910e-13
3320.1000,2.641284e-13
3322.4800,2.668788e-13
3324.8600,2.718440e-13
3327.2400,2.793446e-13
3329.6200,2.851515e-13
3332.0000,2.950076e-13
3334.3800,2.974712e-13
3336.7600,3.009345e-13
3339.1400,3.062605e-13
3341.5200,3.140366e-13
3343.9000,3.154386e-13
3346.2800,3.173479e-13
3348.6600,3.146422e-13
3351.0400,3.131513e-13
3353.4200,3.106866e-13
3355.8000,3.090576e-13
3358.1800,3.086324e-13
3360.5600,3.058483e-13
3362.9400,3.060599e-13
3365.3200,3.071360e-13
3367.7000,3.091337e-13
3370.0800,3.078897e-13
3372.4600,3.046629e-13
3374.8400,3.056578e-13
3377.2200,3.104732e-13
3379.6000,3.087049e-13
3381.9800,3.082188e-13
3384.3600,3.141192e-13
3386.7400,3.142136e-13
3389.1200,3.176134e-13
3391.5000,3.244606e-13
3393.8800,3.291721e-13
3396.2600,3.333381e-13
3398.6400,3.372102e-13
3401.0200,3.371368e-13
3403.4000,3.402761e-13
3405.7800,3.398068e-13
3408.1600,3.420362e-13
3410.5400,3.453516e-13
3412.9200,3.468038e-13
3415.3000,3.462273e-13
3417.6800,3.475224e-13
3420.0600,3.467965e-13
3422.4400,3.458240e-13
3424.8200,3.437699e-13
3427.2000,3.466226e-13
3429.5800,3.463029e-13
3431.9600,3.462718e-13
3434.3400,3.457925e-13
3436.7200,3.507406e-13
3439.1000,3.505054e-13
3441.4800,3.562322e-13
3443.8600,3.575167e-13
3446.2400,3.631166e-13
3448.6200,3.679209e-13
3451.0000,3.686828e-13
3453.3800,3.706536e-13
3455.7600,3.739474e-13
3458.1400,3.732561e-13
3460.5200,3.754858e-13
3462.9000,3.754921e-13
3465.2800,3.740271e-13
3467.6600,3.757726e-13
3470.0400,3.761481e-13
3472.4200,3.751451e-13
3474.8000,3.758037e-13
3477.1800,3.792164e-13
3479.5600,3.819616e-13
3481.9400,3.867533e-13
3484.3200,3.900580e-13
3486.7000,3.959359e-13
3489.0800,4.024429e-13
3491.4600,4.094847e-13
3493.8400,4.183790e-13
3496.2200,4.293121e-13
3498.6000,4.377990e-13
3500.9800,4.446900e-13
3503.3600,4.563687e-13
