# SN 2011fe observed spectrum
# Phase: +12.2 days from B-max (MJD 55814.0)
# t_exp: 29.5 days since explosion (MJD 55796.7)
# Instrument: Snifs
# Wavelength range: 3301.1 - 9700.9 Angstrom
wavelength_angstrom,flux_erg_s_cm2_angstrom
3301.0600,1.087009e-13
3303.4400,1.072285e-13
3305.8200,1.089534e-13
3308.2000,1.100751e-13
3310.5800,1.070267e-13
3312.9600,1.063151e-13
3315.3400,1.084043e-13
3317.7200,1.078120e-13
3320.1000,1.033893e-13
3322.4800,1.037988e-13
3324.8600,1.050769e-13
3327.2400,1.029934e-13
3329.6200,1.043202e-13
3332.0000,1.037020e-13
3334.3800,1.023284e-13
3336.7600,1.020819e-13
3339.1400,1.016172e-13
3341.5200,1.044990e-13
3343.9000,1.045687e-13
3346.2800,1.018566e-13
3348.6600,1.005145e-13
3351.0400,9.908818e-14
3353.4200,9.957396e-14
3355.8000,1.001427e-13
3358.1800,9.782891e-14
3360.5600,9.946113e-14
3362.9400,9.954114e-14
3365.3200,1.008784e-13
3367.7000,9.867196e-14
3370.0800,9.765759e-14
3372.4600,9.733556e-14
3374.8400,1.004738e-13
3377.2200,1.006459e-13
3379.6000,1.027222e-13
3381.9800,1.050349e-13
3384.3600,1.059447e-13
3386.7400,1.085378e-13
3389.1200,1.111684e-13
3391.5000,1.153062e-13
3393.8800,1.154732e-13
3396.2600,1.192487e-13
3398.6400,1.179931e-13
3401.0200,1.179990e-13
3403.4000,1.194210e-13
3405.7800,1.209973e-13
3408.1600,1.212583e-13
3410.5400,1.218936e-13
3412.9200,1.231396e-13
3415.3000,1.260464e-13
3417.6800,1.253521e-13
3420.0600,1.255574e-13
3422.4400,1.259865e-13
3424.8200,1.262155e-13
3427.2000,1.260009e-13
3429.5800,1.280708e-13
3431.9600,1.273842e-13
3434.3400,1.258210e-13
3436.7200,1.298384e-13
3439.1000,1.287645e-13
3441.4800,1.293702e-13
3443.8600,1.315368e-13
3446.2400,1.305638e-13
3448.6200,1.328192e-13
3451.0000,1.317688e-13
3453.3800,1.351166e-13
3455.7600,1.356273e-13
3458.1400,1.361834e-13
3460.5200,1.354786e-13
3462.9000,1.348765e-13
3465.2800,1.359809e-13
3467.6600,1.378985e-13
3470.0400,1.381363e-13
3472.4200,1.388651e-13
3474.8000,1.382355e-13
3477.1800,1.371800e-13
3479.5600,1.413890e-13
3481.9400,1.435535e-13
3484.3200,1.437109e-13
3486.7000,1.450951e-13
3489.0800,1.450374e-13
3491.4600,1.486510e-13
3493.8400,1.526700e-13
3496.2200,1.554508e-13
3498.6000,1.591533e-13
3500.9800,1.648804e-13
3503.3600,1.698474e-13
3505.7400,1.724095e-13
3508.1200,1.781077e-13
3510.5000,1.821666e-13
3512.8800,1.861510e-13
3515.2600,1.911133e-13
3517.6400,1.943587e-13
3520.0200,2.001245e-13
3522.4000,2.038145e-13
3524.7800,2.036153e-13
3527.1600,2.054805e-13
3529.5400,2.048472e-13
3531.9200,2.071707e-13
3534.3000,2.097114e-13
3536.6800,2.124102e-13
3539.0600,2.158078e-13
3541.4400,2.190309e-13
3543.8200,2.209029e-13
3546.2000,2.254467e-13
3548.5800,2.275954e-13
3550.9600,2.316062e-13
3553.3400,2.338226e-13
3555.7200,2.344636e-13
3558.1000,2.352625e-13
3560.4800,2.349146e-13
3562.8600,2.353127e-13
3565.2400,2.349059e-13
3567.6200,2.367421e-13
3570.0000,2.393422e-13
3572.3800,2.427696e-13
3574.7600,2.436532e-13
3577.1400,2.493447e-13
3579.5200,2.528125e-13
