# SN 2011fe observed spectrum
# Phase: +17.2 days from B-max (MJD 55814.0)
# t_exp: 34.5 days since explosion (MJD 55796.7)
# Instrument: Snifs
# Wavelength range: 3301.1 - 9700.9 Angstrom
wavelength_angstrom,flux_erg_s_cm2_angstrom
3301.0600,4.779747e-14
3303.4400,4.791671e-14
3305.8200,4.693280e-14
3308.2000,4.854046e-14
3310.5800,4.888862e-14
3312.9600,4.807461e-14
3315.3400,4.915260e-14
3317.7200,4.910050e-14
3320.1000,4.934191e-14
3322.4800,4.869546e-14
3324.8600,4.756317e-14
3327.2400,4.849676e-14
3329.6200,4.917961e-14
3332.0000,4.973528e-14
3334.3800,5.034216e-14
3336.7600,4.926492e-14
3339.1400,4.837851e-14
3341.5200,4.807075e-14
3343.9000,5.030258e-14
3346.2800,4.987973e-14
3348.6600,5.011045e-14
3351.0400,4.953351e-14
3353.4200,4.860593e-14
3355.8000,4.875988e-14
3358.1800,4.779903e-14
3360.5600,4.849276e-14
3362.9400,4.913279e-14
3365.3200,4.936229e-14
3367.7000,4.859297e-14
3370.0800,4.947374e-14
3372.4600,4.787243e-14
3374.8400,4.926099e-14
3377.2200,5.067094e-14
3379.6000,4.997001e-14
3381.9800,4.974235e-14
3384.3600,5.103757e-14
3386.7400,5.264679e-14
3389.1200,5.306842e-14
3391.5000,5.444738e-14
3393.8800,5.749208e-14
3396.2600,5.860518e-14
3398.6400,5.815555e-14
3401.0200,5.912971e-14
3403.4000,5.874204e-14
3405.7800,6.021363e-14
3408.1600,6.114244e-14
3410.5400,6.146675e-14
3412.9200,6.262314e-14
3415.3000,6.186171e-14
3417.6800,6.224275e-14
3420.0600,6.340271e-14
3422.4400,6.349489e-14
3424.8200,6.419721e-14
3427.2000,6.400636e-14
3429.5800,6.504515e-14
3431.9600,6.538330e-14
3434.3400,6.504603e-14
3436.7200,6.464484e-14
3439.1000,6.400337e-14
3441.4800,6.423069e-14
3443.8600,6.510881e-14
3446.2400,6.653008e-14
3448.6200,6.646036e-14
3451.0000,6.646296e-14
3453.3800,6.825572e-14
3455.7600,6.706955e-14
3458.1400,6.797332e-14
3460.5200,6.837309e-14
3462.9000,6.819029e-14
3465.2800,6.826172e-14
3467.6600,6.795554e-14
3470.0400,6.963435e-14
3472.4200,6.791908e-14
3474.8000,6.849827e-14
3477.1800,6.917388e-14
3479.5600,6.858163e-14
3481.9400,6.794545e-14
3484.3200,6.956797e-14
3486.7000,6.942208e-14
3489.0800,7.034260e-14
3491.4600,7.143158e-14
3493.8400,7.335531e-14
3496.2200,7.544096e-14
3498.6000,7.630690e-14
3500.9800,7.895431e-14
3503.3600,8.122161e-14
3505.7400,8.252304e-14
3508.1200,8.344842e-14
3510.5000,8.632670e-14
3512.8800,8.684342e-14
3515.2600,8.881986e-14
3517.6400,9.086436e-14
3520.0200,9.338624e-14
3522.4000,9.398740e-14
3524.7800,9.480237e-14
3527.1600,9.472915e-14
3529.5400,9.451080e-14
3531.9200,9.575384e-14
