# SN 2011fe observed spectrum
# Phase: +1.2 days from B-max (MJD 55814.0)
# t_exp: 18.5 days since explosion (MJD 55796.7)
# Instrument: Snifs
# Wavelength range: 3301.1 - 9700.9 Angstrom
wavelength_angstrom,flux_erg_s_cm2_angstrom
3301.0600,4.345797e-13
3303.4400,4.365298e-13
3305.8200,4.435213e-13
3308.2000,4.469109e-13
3310.5800,4.477839e-13
3312.9600,4.492206e-13
3315.3400,4.510189e-13
3317.7200,4.533237e-13
3320.1000,4.572071e-13
3322.4800,4.644429e-13
3324.8600,4.692919e-13
3327.2400,4.785799e-13
3329.6200,4.868754e-13
3332.0000,5.004518e-13
3334.3800,5.103665e-13
3336.7600,5.155939e-13
3339.1400,5.193651e-13
3341.5200,5.378518e-13
3343.9000,5.417697e-13
3346.2800,5.428320e-13
3348.6600,5.407462e-13
3351.0400,5.390102e-13
3353.4200,5.395940e-13
3355.8000,5.369155e-13
3358.1800,5.344780e-13
3360.5600,5.289065e-13
3362.9400,5.216585e-13
3365.3200,5.167320e-13
3367.7000,5.141675e-13
3370.0800,5.103309e-13
3372.4600,5.036714e-13
3374.8400,5.021222e-13
3377.2200,5.010477e-13
3379.6000,5.005905e-13
3381.9800,4.977024e-13
3384.3600,4.981490e-13
3386.7400,5.031152e-13
3389.1200,5.091625e-13
3391.5000,5.190420e-13
3393.8800,5.270733e-13
3396.2600,5.377502e-13
3398.6400,5.414504e-13
3401.0200,5.374533e-13
3403.4000,5.434532e-13
3405.7800,5.463303e-13
3408.1600,5.491755e-13
3410.5400,5.550827e-13
3412.9200,5.552038e-13
3415.3000,5.539375e-13
3417.6800,5.532433e-13
3420.0600,5.526659e-13
3422.4400,5.549277e-13
3424.8200,5.548769e-13
3427.2000,5.572499e-13
3429.5800,5.561340e-13
3431.9600,5.607326e-13
3434.3400,5.688341e-13
3436.7200,5.769545e-13
3439.1000,5.826709e-13
3441.4800,5.877295e-13
3443.8600,5.975644e-13
3446.2400,6.013381e-13
3448.6200,6.049442e-13
3451.0000,6.097095e-13
3453.3800,6.160712e-13
3455.7600,6.188814e-13
3458.1400,6.178511e-13
3460.5200,6.167768e-13
3462.9000,6.174503e-13
3465.2800,6.183535e-13
3467.6600,6.188714e-13
3470.0400,6.224567e-13
3472.4200,6.207738e-13
3474.8000,6.231653e-13
3477.1800,6.226526e-13
3479.5600,6.246363e-13
3481.9400,6.275362e-13
3484.3200,6.318395e-13
3486.7000,6.383230e-13
3489.0800,6.433400e-13
3491.4600,6.508493e-13
3493.8400,6.562344e-13
3496.2200,6.656053e-13
3498.6000,6.767924e-13
3500.9800,6.825013e-13
3503.3600,6.913829e-13
3505.7400,7.036920e-13
3508.1200,7.178879e-13
3510.5000,7.282767e-13
3512.8800,7.366754e-13
3515.2600,7.443703e-13
3517.6400,7.534943e-13
3520.0200,7.633139e-13
3522.4000,7.734716e-13
3524.7800,7.775828e-13
3527.1600,7.787662e-13
3529.5400,7.830148e-13
3531.9200,7.810862e-13
3534.3000,7.828785e-13
3536.6800,7.897855e-13
3539.0600,7.952235e-13
3541.4400,8.017155e-13
3543.8200,8.064523e-13
3546.2000,8.063360e-13
3548.5800,8.107180e-13
3550.9600,8.158829e-13
3553.3400,8.211834e-13
3555.7200,8.279767e-13
3558.1000,8.316735e-13
3560.4800,8.327571e-13
3562.8600,8.353320e-13
3565.2400,8.394404e-13
3567.6200,8.476065e-13
3570.0000,8.519756e-13
3572.3800,8.568354e-13
3574.7600,8.590196e-13
3577.1400,8.658149e-13
3579.5200,8.750399e-13
3581.9000,8.816535e-13
3584.2800,8.832528e-13
3586.6600,8.837821e-13
3589.0400,8.829581e-13
3591.4200,8.801769e-13
3593.8000,8.758423e-13
3596.1800,8.700248e-13
3598.5600,8.603348e-13
3600.9400,8.531448e-13
3603.3200,8.438945e-13
3605.7000,8.337328e-13
3608.0800,8.283593e-13
3610.4600,8.270133e-13
3612.8400,8.222357e-13
3615.2200,8.156922e-13
3617.6000,8.145871e-13
3619.9800,8.171721e-13
3622.3600,8.177156e-13
3624.7400,8.224338e-13
3627.1200,8.298941e-13
3629.5000,8.371781e-13
3631.8800,8.449910e-13
3634.2600,8.535510e-13
3636.6400,8.566126e-13
3639.0200,8.572534e-13
3641.4000,8.566749e-13
3643.7800,8.530789e-13
3646.1600,8.492102e-13
3648.5400,8.486762e-13
3650.9200,8.448801e-13
3653.3000,8.421865e-13
3655.6800,8.417747e-13
3658.0600,8.409465e-13
3660.4400,8.384752e-13
3662.8200,8.401465e-13
3665.2000,8.364800e-13
3667.5800,8.326550e-13
3669.9600,8.278901e-13
3672.3400,8.193873e-13
3674.7200,8.079217e-13
3677.1000,7.943047e-13
3679.4800,7.768134e-13
3681.8600,7.559671e-13
3684.2400,7.352995e-13
3686.6200,7.149435e-13
3689.0000,6.944473e-13
3691.3800,6.715312e-13
3693.7600,6.489546e-13
3696.1400,6.254139e-13
3698.5200,6.034646e-13
3700.9000,5.839865e-13
3703.2800,5.660335e-13
3705.6600,5.498703e-13
3708.0400,5.370675e-13
3710.4200,5.254634e-13
3712.8000,5.131136e-13
3715.1800,5.008242e-13
3717.5600,4.869139e-13
3719.9400,4.750189e-13
3722.3200,4.633912e-13
3724.7000,4.519849e-13
3727.0800,4.406603e-13
3729.4600,4.324162e-13
3731.8400,4.265318e-13
3734.2200,4.225273e-13
3736.6000,4.211023e-13
3738.9800,4.233303e-13
3741.3600,4.270943e-13
3743.7400,4.319929e-13
3746.1200,4.380103e-13
3748.5000,4.436021e-13
3750.8800,4.446578e-13
3753.2600,4.430705e-13
3755.6400,4.433146e-13
3758.0200,4.418625e-13
3760.4000,4.426376e-13
3762.7800,4.432214e-13
3765.1600,4.420203e-13
3767.5400,4.409164e-13
3769.9200,4.401016e-13
3772.3000,4.387188e-13
3774.6800,4.375806e-13
3777.0600,4.342540e-13
3779.4400,4.308301e-13
3781.8200,4.279628e-13
3784.2000,4.249129e-13
3786.5800,4.207916e-13
3788.9600,4.177485e-13
3791.3400,4.145840e-13
3793.7200,4.128838e-13
3796.1000,4.117536e-13
3798.4800,4.103900e-13
3800.8600,4.092949e-13
3803.2400,4.095967e-13
3805.6200,4.091828e-13
3808.0000,4.084809e-13
3810.3800,4.118611e-13
3812.7600,4.164261e-13
3815.1400,4.223354e-13
3817.5200,4.280112e-13
3819.9000,4.343964e-13
3822.2800,4.431512e-13
3824.6600,4.518664e-13
3827.0400,4.594100e-13
3829.4200,4.678465e-13
3831.8000,4.782691e-13
3834.1800,4.892758e-13
3836.5600,5.019433e-13
3838.9400,5.147859e-13
3841.3200,5.273568e-13
3843.7000,5.422797e-13
3846.0800,5.592574e-13
3848.4600,5.762382e-13
3850.8400,5.899807e-13
3853.2200,6.079622e-13
3855.6000,6.300288e-13
3857.9800,6.534095e-13
3860.3600,6.767824e-13
3862.7400,7.003085e-13
3865.1200,7.238280e-13
3867.5000,7.496066e-13
3869.8800,7.725403e-13
3872.2600,7.936015e-13
3874.6400,8.117863e-13
3877.0200,8.300349e-13
3879.4000,8.493333e-13
3881.7800,8.659197e-13
3884.1600,8.800028e-13
3886.5400,8.922758e-13
3888.9200,9.020287e-13
3891.3000,9.141500e-13
3893.6800,9.248490e-13
3896.0600,9.377609e-13
3898.4400,9.484709e-13
3900.8200,9.600548e-13
3903.2000,9.675732e-13
3905.5800,9.697380e-13
3907.9600,9.755602e-13
3910.3400,9.803129e-13
3912.7200,9.856454e-13
3915.1000,9.925821e-13
3917.4800,9.975535e-13
3919.8600,1.002582e-12
3922.2400,1.009650e-12
3924.6200,1.016704e-12
3927.0000,1.021483e-12
3929.3800,1.023395e-12
3931.7600,1.015658e-12
3934.1400,1.006682e-12
3936.5200,1.021180e-12
3938.9000,1.050932e-12
3941.2800,1.072591e-12
3943.6600,1.080878e-12
3946.0400,1.082871e-12
3948.4200,1.085990e-12
3950.8000,1.085254e-12
3953.1800,1.081224e-12
3955.5600,1.076642e-12
3957.9400,1.067770e-12
3960.3200,1.055394e-12
3962.7000,1.040748e-12
3965.0800,1.022234e-12
3967.4600,9.999132e-13
3969.8400,9.806031e-13
3972.2200,9.734371e-13
3974.6000,9.684536e-13
3976.9800,9.545670e-13
3979.3600,9.389672e-13
3981.7400,9.223258e-13
3984.1200,9.058497e-13
3986.5000,8.879634e-13
3988.8800,8.702605e-13
3991.2600,8.553455e-13
3993.6400,8.412124e-13
3996.0200,8.294030e-13
3998.4000,8.179149e-13
4000.7800,8.106166e-13
4003.1600,8.037285e-13
4005.5400,8.014249e-13
4007.9200,8.044152e-13
4010.3000,8.093450e-13
4012.6800,8.200362e-13
4015.0600,8.313305e-13
4017.4400,8.396654e-13
4019.8200,8.488156e-13
4022.2000,8.550297e-13
4024.5800,8.600690e-13
4026.9600,8.662253e-13
4029.3400,8.718061e-13
4031.7200,8.780603e-13
4034.1000,8.860047e-13
4036.4800,8.963326e-13
4038.8600,9.053279e-13
4041.2400,9.123749e-13
4043.6200,9.214632e-13
4046.0000,9.291486e-13
4048.3800,9.389444e-13
4050.7600,9.462400e-13
4053.1400,9.542233e-13
4055.5200,9.603307e-13
4057.9000,9.667933e-13
4060.2800,9.717841e-13
4062.6600,9.753543e-13
4065.0400,9.818865e-13
4067.4200,9.870375e-13
4069.8000,9.952915e-13
4072.1800,1.002825e-12
4074.5600,1.007903e-12
4076.9400,1.014289e-12
4079.3200,1.018153e-12
4081.7000,1.021615e-12
4084.0800,1.020863e-12
4086.4600,1.020070e-12
4088.8400,1.020149e-12
4091.2200,1.015486e-12
4093.6000,1.008863e-12
4095.9800,9.990589e-13
4098.3600,9.917878e-13
4100.7400,9.883447e-13
4103.1200,9.859197e-13
4105.5000,9.855151e-13
4107.8800,9.865661e-13
4110.2600,9.911664e-13
4112.6400,9.922960e-13
4115.0200,9.930933e-13
4117.4000,9.949256e-13
4119.7800,9.923698e-13
4122.1600,9.850481e-13
4124.5400,9.739243e-13
4126.9200,9.621837e-13
4129.3000,9.504400e-13
4131.6800,9.374469e-13
