# Wavelength(A) Luminosity_density(erg/s/A)
4.154549e+03 7.751522e-10
4.162620e+03 9.177718e-10
4.170721e+03 1.230959e-09
4.178855e+03 1.461338e-09
4.187020e+03 1.296201e-09
4.195217e+03 1.222290e-09
4.203447e+03 1.700870e-09
4.211708e+03 1.884754e-09
4.220003e+03 1.613308e-09
4.228330e+03 2.002761e-09
4.236690e+03 2.283378e-09
4.245083e+03 2.496314e-09
4.253509e+03 2.336219e-09
4.261969e+03 2.714884e-09
4.270463e+03 2.466516e-09
4.278990e+03 2.827239e-09
4.287552e+03 3.240464e-09
4.296148e+03 3.141600e-09
4.304778e+03 3.252902e-09
4.313444e+03 2.944805e-09
4.322144e+03 4.501017e-09
4.330879e+03 4.309622e-09
4.339650e+03 4.436325e-09
4.348456e+03 4.947175e-09
4.357298e+03 4.906277e-09
4.366177e+03 5.339629e-09
4.375091e+03 5.172587e-09
4.384042e+03 5.937217e-09
4.393030e+03 5.997312e-09
4.402054e+03 6.340528e-09
4.411116e+03 6.882206e-09
4.420215e+03 7.604655e-09
4.429352e+03 8.503805e-09
4.438526e+03 6.912601e-09
4.447739e+03 8.894137e-09
4.456990e+03 1.092213e-08
4.466280e+03 1.125890e-08
4.475608e+03 1.015150e-08
4.484975e+03 1.174342e-08
4.494382e+03 1.118834e-08
4.503828e+03 1.251265e-08
4.513314e+03 1.408249e-08
4.522840e+03 1.535721e-08
4.532407e+03 1.343600e-08
4.542014e+03 1.386395e-08
4.551661e+03 1.631669e-08
4.561350e+03 1.940223e-08
4.571080e+03 2.469371e-08
4.580852e+03 1.848202e-08
4.590666e+03 2.097501e-08
4.600521e+03 2.389298e-08
4.610419e+03 2.662217e-08
4.620360e+03 2.374059e-08
4.630344e+03 2.601760e-08
4.640371e+03 2.860494e-08
4.650442e+03 3.465216e-08
4.660556e+03 3.243719e-08
4.670715e+03 3.883280e-08
4.680917e+03 4.155250e-08
4.691165e+03 3.824231e-08
4.701458e+03 4.447657e-08
4.711795e+03 4.021275e-08
4.722178e+03 4.822645e-08
4.732608e+03 4.898453e-08
4.743083e+03 5.837151e-08
4.753605e+03 4.987569e-08
4.764173e+03 6.161510e-08
4.774789e+03 6.966650e-08
4.785452e+03 7.495664e-08
4.796163e+03 8.515656e-08
4.806922e+03 7.601178e-08
4.817729e+03 9.294367e-08
4.828585e+03 8.669528e-08
4.839490e+03 9.472931e-08
4.850445e+03 9.016605e-08
4.861449e+03 1.202788e-07
4.872503e+03 1.020989e-07
4.883607e+03 1.165920e-07
4.894763e+03 1.006657e-07
4.905969e+03 1.269312e-07
4.917227e+03 1.381878e-07
4.928536e+03 1.553308e-07
4.939898e+03 1.373199e-07
4.951312e+03 1.502348e-07
4.962779e+03 1.879985e-07
4.974300e+03 2.264330e-07
4.985873e+03 2.172686e-07
4.997501e+03 2.656642e-07
5.009184e+03 2.154969e-07
5.020921e+03 2.465972e-07
5.032713e+03 2.165089e-07
5.044560e+03 1.825457e-07
5.056464e+03 2.006280e-07
5.068424e+03 1.456627e-07
5.080440e+03 1.148008e-07
5.092514e+03 1.162275e-07
5.104645e+03 2.267218e-07
5.116834e+03 1.746664e-07
5.129082e+03 2.149058e-07
5.141388e+03 2.342311e-07
5.153754e+03 3.519075e-07
5.166179e+03 4.048481e-07
5.178664e+03 3.229201e-07
5.191210e+03 4.596738e-07
5.203816e+03 5.807920e-07
5.216484e+03 6.616076e-07
5.229214e+03 5.844361e-07
5.242006e+03 7.767688e-07
5.254861e+03 7.697127e-07
5.267779e+03 8.561550e-07
5.280760e+03 9.048223e-07
5.293806e+03 9.994248e-07
5.306917e+03 9.176688e-07
5.320092e+03 1.028316e-06
5.333333e+03 1.061280e-06
5.346641e+03 1.352470e-06
5.360014e+03 1.290241e-06
5.373455e+03 1.535721e-06
5.386963e+03 1.342724e-06
5.400540e+03 1.745180e-06
5.414185e+03 1.542335e-06
5.427899e+03 1.636621e-06
5.441683e+03 1.954362e-06
5.455537e+03 1.784626e-06
5.469462e+03 1.873400e-06
5.483458e+03 1.868587e-06
5.497526e+03 2.489250e-06
5.511666e+03 2.257606e-06
5.525880e+03 2.725234e-06
5.540166e+03 2.857945e-06
5.554527e+03 2.902922e-06
5.568962e+03 2.803140e-06
5.583473e+03 3.371848e-06
5.598059e+03 3.437274e-06
5.612722e+03 3.918752e-06
5.627462e+03 3.770559e-06
5.642279e+03 4.787815e-06
5.657175e+03 4.433207e-06
5.672150e+03 4.828849e-06
5.687204e+03 4.686228e-06
5.702338e+03 4.607598e-06
5.717553e+03 5.856703e-06
5.732849e+03 5.877681e-06
