packet_id,step,r,mu,nu,energy,shell_id,status,interaction_type,distance
0,0,1.2355200000000000e+15,8.6481518803910062e-01,1.4056101158989945e+15,1.0327717505563380e-01,0,0,INITIAL_RAW,0.0000000000000000e+00
0,1,1.2355200000000000e+15,8.6481518803910062e-01,1.4516744199967015e+15,1.0666174887472027e-01,0,0,DOPPLER_INIT,0.0000000000000000e+00
0,2,1.2672437952730330e+15,8.7858609162220869e-01,1.4520470235335600e+15,1.0666174887472027e-01,0,0,ESCATTERING,3.6529264229197789e+13
0,3,1.2860639999999998e+15,8.8234930177068771e-01,1.4520470235335600e+15,1.0666174887472027e-01,1,0,BOUNDARY,2.1374899210989000e+13
0,4,1.3366080000000000e+15,8.9161239348689403e-01,1.4520470235335600e+15,1.0666174887472027e-01,2,0,BOUNDARY,5.6978585601313000e+13
0,5,1.3871520000000000e+15,8.9980093053451893e-01,1.4520470235335600e+15,1.0666174887472027e-01,3,0,BOUNDARY,5.6424402359088500e+13
0,6,1.4376959999999998e+15,9.0707827994216106e-01,1.4520470235335600e+15,1.0666174887472027e-01,4,0,BOUNDARY,5.5942154366906000e+13
0,7,1.4882400000000000e+15,9.1357727869650196e-01,1.4520470235335600e+15,1.0666174887472027e-01,5,0,BOUNDARY,5.5519434487557000e+13
0,8,1.5387840000000000e+15,9.1940696733223470e-01,1.4520470235335600e+15,1.0666174887472027e-01,6,0,BOUNDARY,5.5146481572083500e+13
0,9,1.5893280000000000e+15,9.2465761976354155e-01,1.4520470235335600e+15,1.0666174887472027e-01,7,0,BOUNDARY,5.4815514684184500e+13
0,10,1.6398720000000000e+15,9.2940455358997620e-01,1.4520470235335600e+15,1.0666174887472027e-01,8,0,BOUNDARY,5.4520258601151500e+13
0,11,1.6904160000000000e+15,9.3371105303752555e-01,1.4520470235335600e+15,1.0666174887472027e-01,9,0,BOUNDARY,5.4255599326780250e+13
0,12,1.7409599999999998e+15,9.3763063670028013e-01,1.4520470235335600e+15,1.0666174887472027e-01,10,0,BOUNDARY,5.4017329838237750e+13
0,13,1.7915040000000000e+15,9.4120883509442665e-01,1.4520470235335600e+15,1.0666174887472027e-01,11,0,BOUNDARY,5.3801959637286250e+13
0,14,1.8420480000000000e+15,9.4448459708234134e-01,1.4520470235335600e+15,1.0666174887472027e-01,12,0,BOUNDARY,5.3606570179327000e+13
0,15,1.8925919999999998e+15,9.4749141224291056e-01,1.4520470235335600e+15,1.0666174887472027e-01,13,0,BOUNDARY,5.3428703793301500e+13
0,16,1.9431360000000002e+15,9.5025821366483654e-01,1.4520470235335600e+15,1.0666174887472027e-01,14,0,BOUNDARY,5.3266277388201750e+13
0,17,1.9936800000000000e+15,9.5281010944757361e-01,1.4520470235335600e+15,1.0666174887472027e-01,15,0,BOUNDARY,5.3117514735602500e+13
0,18,2.0442240000000002e+15,9.5516897944551782e-01,1.4520470235335600e+15,1.0666174887472027e-01,16,0,BOUNDARY,5.2980892834596000e+13
0,19,2.0947680000000000e+15,9.5735396516650184e-01,1.4520470235335600e+15,1.0666174887472027e-01,17,0,BOUNDARY,5.2855099065868250e+13
0,20,2.1453119999999998e+15,9.5938187433657063e-01,1.4520470235335600e+15,1.0666174887472027e-01,18,0,BOUNDARY,5.2738996692834000e+13
0,21,2.1958560000000000e+15,9.6126751684798173e-01,1.4520470235335600e+15,1.0666174887472027e-01,19,0,BOUNDARY,5.2631596879005000e+13
0,22,2.2464000000000000e+15,9.6302398518114951e-01,1.4520470235335600e+15,1.0666174887472027e-01,19,1,BOUNDARY,5.2532035835192500e+13
0,23,2.2464000000000000e+15,9.6302398518114951e-01,1.4520470235335600e+15,1.0666174887472027e-01,19,1,FINAL_EMITTED,0.0000000000000000e+00
