# LUMINA-SN GPU Spectrum (Escaped Packets)
# n_packets=20000000, n_emitted=3989129
wavelength_A,flux
4690.50,2.744000e+03
4697.50,2.782000e+03
4704.50,2.705000e+03
4711.50,2.685000e+03
4718.50,2.777000e+03
4725.50,2.728000e+03
4732.50,2.626000e+03
4739.50,2.587000e+03
4746.50,2.652000e+03
4753.50,2.586000e+03
4760.50,2.656000e+03
4767.50,2.579000e+03
4774.50,2.695000e+03
4781.50,2.594000e+03
4788.50,2.593000e+03
4795.50,2.608000e+03
4802.50,2.523000e+03
4809.50,2.543000e+03
4816.50,2.528000e+03
4823.50,2.561000e+03
4830.50,2.481000e+03
4837.50,2.489000e+03
4844.50,2.546000e+03
4851.50,2.479000e+03
4858.50,2.532000e+03
4865.50,2.481000e+03
4872.50,2.513000e+03
4879.50,2.427000e+03
4886.50,2.406000e+03
4893.50,2.361000e+03
4900.50,2.409000e+03
4907.50,2.398000e+03
4914.50,2.414000e+03
4921.50,2.455000e+03
4928.50,2.373000e+03
4935.50,2.389000e+03
4942.50,2.359000e+03
4949.50,2.331000e+03
4956.50,2.440000e+03
4963.50,2.325000e+03
4970.50,2.327000e+03
4977.50,2.327000e+03
4984.50,2.353000e+03
4991.50,2.333000e+03
4998.50,2.255000e+03
5005.50,2.280000e+03
5012.50,2.252000e+03
5019.50,2.189000e+03
5026.50,2.203000e+03
5033.50,2.217000e+03
5040.50,2.288000e+03
5047.50,2.279000e+03
5054.50,2.233000e+03
5061.50,2.319000e+03
5068.50,2.152000e+03
5075.50,2.172000e+03
5082.50,2.110000e+03
5089.50,2.177000e+03
5096.50,2.124000e+03
5103.50,2.143000e+03
5110.50,2.236000e+03
5117.50,2.194000e+03
5124.50,2.170000e+03
5131.50,2.114000e+03
5138.50,2.121000e+03
5145.50,2.183000e+03
5152.50,2.182000e+03
5159.50,2.104000e+03
5166.50,2.095000e+03
5173.50,2.097000e+03
5180.50,2.135000e+03
5187.50,2.121000e+03
5194.50,2.081000e+03
5201.50,2.079000e+03
5208.50,2.038000e+03
5215.50,2.023000e+03
5222.50,2.059000e+03
5229.50,2.084000e+03
5236.50,2.119000e+03
5243.50,1.997000e+03
5250.50,2.024000e+03
5257.50,2.019000e+03
5264.50,1.982000e+03
5271.50,2.035000e+03
5278.50,2.019000e+03
5285.50,1.970000e+03
5292.50,2.005000e+03
5299.50,1.988000e+03
5306.50,1.892000e+03
5313.50,2.000000e+03
5320.50,1.975000e+03
5327.50,1.976000e+03
5334.50,1.878000e+03
5341.50,1.898000e+03
5348.50,1.966000e+03
5355.50,1.917000e+03
5362.50,1.890000e+03
5369.50,1.935000e+03
5376.50,1.921000e+03
5383.50,1.928000e+03
5390.50,1.806000e+03
5397.50,1.959000e+03
5404.50,1.867000e+03
5411.50,1.860000e+03
5418.50,1.910000e+03
5425.50,1.816000e+03
5432.50,1.943000e+03
5439.50,1.825000e+03
5446.50,1.910000e+03
5453.50,1.873000e+03
5460.50,1.828000e+03
5467.50,1.847000e+03
5474.50,1.747000e+03
5481.50,1.860000e+03
5488.50,1.749000e+03
5495.50,1.662000e+03
5502.50,1.729000e+03
5509.50,1.801000e+03
5516.50,1.745000e+03
5523.50,1.725000e+03
5530.50,1.735000e+03
5537.50,1.695000e+03
5544.50,1.726000e+03
5551.50,1.697000e+03
5558.50,1.758000e+03
5565.50,1.723000e+03
5572.50,1.789000e+03
5579.50,1.702000e+03
5586.50,1.779000e+03
5593.50,1.674000e+03
5600.50,1.697000e+03
5607.50,1.660000e+03
5614.50,1.640000e+03
5621.50,1.681000e+03
5628.50,1.674000e+03
5635.50,1.636000e+03
5642.50,1.699000e+03
5649.50,1.657000e+03
5656.50,1.637000e+03
5663.50,1.690000e+03
5670.50,1.692000e+03
5677.50,1.628000e+03
5684.50,1.607000e+03
5691.50,1.579000e+03
5698.50,1.601000e+03
5705.50,1.611000e+03
5712.50,1.624000e+03
5719.50,1.528000e+03
5726.50,1.540000e+03
