# Wavelength(A) Luminosity_density(erg/s/A)
8.123477e+03 4.389118e+38
8.115785e+03 4.016680e+38
8.108108e+03 2.856303e+38
8.100446e+03 2.796569e+38
8.092797e+03 4.387584e+38
8.085164e+03 4.448367e+38
8.077544e+03 7.201511e+38
8.069939e+03 2.046955e+38
8.062349e+03 3.280745e+38
8.054772e+03 5.718804e+38
8.047210e+03 3.687284e+38
8.039662e+03 4.465362e+38
8.032129e+03 2.484568e+38
8.024609e+03 4.492203e+38
8.017103e+03 2.486019e+38
8.009612e+03 4.936782e+38
8.002134e+03 4.964055e+38
7.994670e+03 4.123566e+38
7.987220e+03 3.381667e+38
7.979785e+03 5.839492e+38
7.972362e+03 5.443507e+38
7.964954e+03 8.738454e+38
7.957560e+03 6.708444e+38
7.950179e+03 3.340855e+38
7.942812e+03 5.912724e+38
7.935458e+03 6.680617e+38
7.928118e+03 3.710199e+38
7.920792e+03 2.494725e+38
7.913479e+03 2.017853e+38
7.906180e+03 3.772217e+38
7.898894e+03 5.911016e+38
7.891622e+03 2.579243e+38
7.884363e+03 5.063078e+38
7.877117e+03 5.118657e+38
7.869885e+03 5.079764e+38
7.862665e+03 4.217087e+38
7.855460e+03 4.766725e+38
7.848267e+03 6.463771e+38
7.841087e+03 9.464350e+38
7.833921e+03 5.161301e+38
7.826768e+03 3.858894e+38
7.819627e+03 4.351060e+38
7.812500e+03 7.021087e+38
7.805386e+03 5.715977e+38
7.798284e+03 6.099932e+38
7.791196e+03 4.762523e+38
7.784120e+03 5.195880e+38
7.777058e+03 5.667502e+38
7.770008e+03 7.035502e+38
7.762971e+03 6.140015e+38
7.755946e+03 4.419922e+38
7.748935e+03 3.067803e+38
7.741935e+03 6.086064e+38
7.734949e+03 6.222505e+38
7.727975e+03 5.706750e+38
7.721014e+03 7.489673e+38
7.714065e+03 3.535956e+38
7.707129e+03 5.780599e+38
7.700205e+03 6.755702e+38
7.693294e+03 5.003736e+38
7.686395e+03 6.262315e+38
7.679509e+03 6.362883e+38
7.672634e+03 4.028219e+38
7.665772e+03 6.744312e+38
7.658923e+03 4.972039e+38
7.652085e+03 5.856976e+38
7.645260e+03 5.928726e+38
7.638447e+03 7.250677e+38
7.631646e+03 5.002332e+38
7.624857e+03 4.588750e+38
7.618080e+03 7.293956e+38
7.611315e+03 5.493854e+38
7.604563e+03 5.030424e+38
7.597822e+03 5.465562e+38
7.591093e+03 5.063888e+38
7.584376e+03 6.006083e+38
7.577671e+03 6.037974e+38
7.570978e+03 6.041891e+38
7.564297e+03 7.881386e+38
7.557627e+03 3.203582e+38
7.550969e+03 5.138902e+38
7.544323e+03 4.204028e+38
7.537688e+03 6.482079e+38
7.531066e+03 6.047224e+38
7.524454e+03 1.030664e+39
7.517855e+03 5.119311e+38
7.511267e+03 4.252115e+38
7.504690e+03 6.604521e+38
7.498125e+03 3.649079e+38
7.491572e+03 7.493790e+38
7.485030e+03 5.223523e+38
7.478499e+03 5.662595e+38
7.471980e+03 7.630771e+38
7.465472e+03 8.076331e+38
7.458976e+03 7.104344e+38
7.452490e+03 1.048898e+39
7.446016e+03 9.583666e+38
7.439554e+03 6.600310e+38
7.433102e+03 7.152227e+38
7.426662e+03 7.177245e+38
7.420233e+03 6.721231e+38
7.413814e+03 5.702618e+38
7.407407e+03 4.380294e+38
7.401011e+03 6.743666e+38
7.394627e+03 6.319031e+38
7.388253e+03 6.817302e+38
7.381890e+03 3.872222e+38
7.375538e+03 6.761915e+38
7.369197e+03 5.774890e+38
7.362867e+03 5.454758e+38
7.356547e+03 5.438706e+38
7.350239e+03 4.943668e+38
7.343941e+03 6.369669e+38
7.337654e+03 6.733447e+38
7.331378e+03 4.360206e+38
7.325113e+03 6.957075e+38
7.318858e+03 3.894315e+38
7.312614e+03 5.003234e+38
7.306381e+03 6.486097e+38
7.300158e+03 7.506981e+38
7.293946e+03 5.970895e+38
7.287744e+03 5.966411e+38
7.281553e+03 8.475777e+38
7.275373e+03 8.011150e+38
7.269203e+03 5.975478e+38
7.263043e+03 3.497973e+38
7.256894e+03 8.988710e+38
7.250755e+03 7.990406e+38
7.244627e+03 6.585268e+38
7.238509e+03 6.070435e+38
7.232401e+03 3.560414e+38
7.226304e+03 8.087169e+38
7.220217e+03 1.004080e+39
7.214140e+03 4.126894e+38
7.208073e+03 7.975977e+38
7.202017e+03 7.656638e+38
7.195970e+03 5.051090e+38
7.189934e+03 7.652332e+38
7.183908e+03 5.649913e+38
7.177892e+03 3.593041e+38
7.171886e+03 9.723316e+38
7.165890e+03 3.066563e+38
7.159905e+03 2.611034e+38
7.153929e+03 5.717351e+38
7.147963e+03 4.149470e+38
7.142007e+03 6.630874e+38
7.136061e+03 5.767131e+38
7.130125e+03 7.841646e+38
7.124199e+03 9.249062e+38
7.118282e+03 6.333964e+38
7.112376e+03 8.878784e+38
7.106479e+03 1.139598e+39
7.100592e+03 8.488070e+38
7.094714e+03 9.925811e+38
7.088847e+03 7.811587e+38
7.082989e+03 9.487608e+38
7.077141e+03 8.438805e+38
7.071302e+03 6.293541e+38
7.065473e+03 8.482832e+38
7.059654e+03 4.278368e+38
7.053844e+03 1.164012e+39
7.048044e+03 9.589307e+38
7.042254e+03 7.959653e+38
7.036472e+03 8.426647e+38
7.030701e+03 8.046125e+38
7.024939e+03 6.314305e+38
7.019186e+03 6.406591e+38
7.013442e+03 4.841883e+38
7.007708e+03 3.810024e+38
7.001984e+03 4.812932e+38
6.996269e+03 4.307465e+38
6.990563e+03 9.228233e+38
6.984866e+03 1.132498e+39
6.979179e+03 1.029056e+39
6.973501e+03 9.729270e+38
6.967832e+03 8.227439e+38
6.962172e+03 5.506243e+38
6.956522e+03 7.626868e+38
6.950880e+03 4.882974e+38
6.945248e+03 8.021837e+38
6.939625e+03 1.052117e+39
6.934011e+03 5.000113e+38
6.928406e+03 7.708463e+38
6.922811e+03 9.951227e+38
6.917224e+03 6.642290e+38
6.911646e+03 6.644136e+38
6.906077e+03 6.133862e+38
6.900518e+03 9.980080e+38
6.894967e+03 1.051887e+39
6.889425e+03 7.707312e+38
6.883892e+03 6.154532e+38
6.878368e+03 5.679779e+38
6.872852e+03 7.264727e+38
6.867346e+03 5.141272e+38
6.861848e+03 8.438283e+38
6.856359e+03 6.758201e+38
6.850879e+03 1.179744e+39
6.845408e+03 1.237747e+39
6.839945e+03 1.478027e+39
6.834491e+03 9.735642e+38
6.829046e+03 6.225393e+38
6.823610e+03 9.014007e+38
6.818182e+03 7.414800e+38
6.812763e+03 1.065205e+39
6.807352e+03 8.647103e+38
6.801950e+03 1.143015e+39
6.796556e+03 7.979406e+38
6.791171e+03 9.768452e+38
6.785795e+03 5.656066e+38
6.780427e+03 1.096703e+39
6.775068e+03 8.106483e+38
6.769717e+03 6.394421e+38
6.764374e+03 1.509847e+39
6.759040e+03 9.341152e+38
6.753715e+03 8.174242e+38
6.748397e+03 5.893434e+38
6.743088e+03 1.027196e+39
6.737788e+03 8.755850e+38
6.732496e+03 1.286211e+39
6.727212e+03 5.869472e+38
6.721936e+03 1.173675e+39
6.716669e+03 6.356794e+38
6.711409e+03 7.699613e+38
6.706158e+03 6.481255e+38
6.700916e+03 7.734549e+38
6.695681e+03 8.319247e+38
6.690455e+03 5.217701e+38
6.685237e+03 1.429010e+39
6.680027e+03 5.341111e+38
6.674825e+03 1.051627e+39
6.669631e+03 8.278461e+38
6.664445e+03 6.504205e+38
6.659267e+03 1.023776e+39
6.654098e+03 9.636679e+38
6.648936e+03 1.083639e+39
6.643783e+03 5.990180e+38
6.638637e+03 1.207794e+39
6.633499e+03 1.262759e+39
6.628369e+03 1.011221e+39
6.623248e+03 1.004874e+39
6.618134e+03 1.091962e+39
6.613028e+03 9.623634e+38
6.607930e+03 5.959261e+38
6.602839e+03 7.938496e+38
6.597757e+03 8.028334e+38
6.592682e+03 1.150136e+39
6.587615e+03 5.484691e+38
6.582556e+03 1.156594e+39
6.577505e+03 1.206861e+39
