# LUMINA-SN GPU Spectrum (Peeling-off / Virtual Packets)
# n_packets=20000000, n_contributions=374813200
# Line contributions: 189807, E-scatter: 374623393
wavelength_A,flux
3874.00,2.454467e+04
3886.00,2.420272e+04
3898.00,2.415663e+04
3910.00,2.385297e+04
3922.00,2.378061e+04
3934.00,2.369023e+04
3946.00,2.351584e+04
3958.00,2.334915e+04
3970.00,2.330142e+04
3982.00,2.299121e+04
3994.00,2.307959e+04
4006.00,2.284832e+04
4018.00,2.290650e+04
4030.00,2.250302e+04
4042.00,2.230739e+04
4054.00,2.230562e+04
4066.00,2.210156e+04
4078.00,2.198459e+04
4090.00,2.193360e+04
4102.00,2.166742e+04
4114.00,2.156152e+04
4126.00,2.140621e+04
4138.00,2.151741e+04
4150.00,2.114629e+04
4162.00,2.118178e+04
4174.00,2.094248e+04
4186.00,2.093110e+04
4198.00,2.066072e+04
4210.00,2.060633e+04
4222.00,2.049109e+04
4234.00,2.036286e+04
4246.00,2.021545e+04
4258.00,1.999978e+04
4270.00,2.002048e+04
4282.00,1.985162e+04
4294.00,1.970477e+04
4306.00,1.970242e+04
4318.00,1.956329e+04
4330.00,1.955304e+04
4342.00,1.930628e+04
4354.00,1.924622e+04
4366.00,1.901375e+04
4378.00,1.885694e+04
4390.00,1.885727e+04
4402.00,1.864995e+04
4414.00,1.860239e+04
4426.00,1.843806e+04
4438.00,1.844860e+04
4450.00,1.824121e+04
4462.00,1.798597e+04
4474.00,1.795136e+04
4486.00,1.789302e+04
4498.00,1.789587e+04
4510.00,1.765575e+04
4522.00,1.760253e+04
4534.00,1.756010e+04
4546.00,1.738808e+04
4558.00,1.722653e+04
4570.00,1.709151e+04
4582.00,1.701247e+04
4594.00,1.690448e+04
4606.00,1.689931e+04
4618.00,1.682786e+04
4630.00,1.659716e+04
4642.00,1.649251e+04
4654.00,1.637433e+04
4666.00,1.618317e+04
4678.00,1.618299e+04
4690.00,1.614429e+04
4702.00,1.596591e+04
