wavelength_angstrom,flux_erg_s_cm2_angstrom,error
3.251268e+03,1.310572e-13,6.654864e-16
3.254016e+03,1.324678e-13,6.672491e-16
3.256763e+03,1.328506e-13,6.684004e-16
3.259510e+03,1.323143e-13,6.640619e-16
3.262257e+03,1.342392e-13,6.665723e-16
3.265005e+03,1.328639e-13,6.623852e-16
3.267752e+03,1.328743e-13,6.594238e-16
3.270499e+03,1.349011e-13,6.624366e-16
3.273247e+03,1.344405e-13,6.620621e-16
3.275994e+03,1.365185e-13,6.643075e-16
3.278741e+03,1.352579e-13,6.831220e-16
3.281488e+03,1.383733e-13,6.630327e-16
3.284236e+03,1.370826e-13,6.592151e-16
3.286983e+03,1.369008e-13,6.591833e-16
3.289731e+03,1.375931e-13,6.566828e-16
3.292478e+03,1.395698e-13,6.584954e-16
3.295225e+03,1.384792e-13,6.791886e-16
3.297973e+03,1.397414e-13,6.782143e-16
3.300720e+03,1.401752e-13,6.584041e-16
3.303468e+03,1.405942e-13,6.836793e-16
3.306215e+03,1.413809e-13,6.546497e-16
3.308963e+03,1.431918e-13,6.583507e-16
3.311710e+03,1.468425e-13,6.654369e-16
3.314458e+03,1.473512e-13,6.654085e-16
3.317205e+03,1.485212e-13,6.646034e-16
3.319953e+03,1.518285e-13,6.709489e-16
3.322700e+03,1.509177e-13,6.693210e-16
3.325448e+03,1.531750e-13,6.752763e-16
3.328195e+03,1.610957e-13,6.858994e-16
3.330943e+03,1.629263e-13,8.018405e-16
3.333690e+03,1.658739e-13,6.946385e-16
3.336438e+03,1.678854e-13,6.953409e-16
3.339186e+03,1.689156e-13,7.223930e-16
3.341933e+03,1.712560e-13,7.002536e-16
3.344681e+03,1.733337e-13,7.035922e-16
3.347429e+03,1.741643e-13,7.057540e-16
3.350176e+03,2.444762e-13,8.825935e-16
3.352924e+03,1.740024e-13,6.954202e-16
3.355672e+03,1.732733e-13,6.966743e-16
3.358419e+03,1.732985e-13,6.942491e-16
3.361167e+03,1.721493e-13,6.874901e-16
3.363915e+03,1.747525e-13,6.907720e-16
3.366662e+03,1.728543e-13,6.873023e-16
3.369410e+03,1.730096e-13,6.850952e-16
3.372158e+03,1.735975e-13,6.857409e-16
3.374906e+03,1.754688e-13,7.020848e-16
3.377654e+03,1.778165e-13,6.992330e-16
3.380401e+03,1.790981e-13,6.907583e-16
3.383149e+03,1.796222e-13,6.951462e-16
3.385897e+03,1.831057e-13,6.965374e-16
3.388645e+03,1.864839e-13,6.978413e-16
3.391393e+03,1.839379e-13,8.022357e-16
3.394140e+03,1.905108e-13,7.145920e-16
3.396888e+03,1.918277e-13,7.049801e-16
3.399636e+03,1.949485e-13,7.097530e-16
3.402384e+03,1.952145e-13,7.073556e-16
3.405132e+03,1.952447e-13,7.017341e-16
3.407880e+03,1.962773e-13,7.035230e-16
3.410628e+03,1.971699e-13,7.037465e-16
3.413376e+03,2.002435e-13,7.107453e-16
3.416124e+03,1.999555e-13,7.062833e-16
3.418871e+03,2.037269e-13,7.096514e-16
3.421619e+03,2.030574e-13,7.108916e-16
3.424367e+03,2.069731e-13,7.094306e-16
3.427115e+03,2.099077e-13,7.154074e-16
3.429863e+03,2.111228e-13,7.179631e-16
3.432611e+03,2.156681e-13,7.251553e-16
3.435359e+03,2.174829e-13,7.267298e-16
3.438107e+03,2.208715e-13,7.302776e-16
3.440855e+03,2.246058e-13,7.343314e-16
3.443603e+03,2.287071e-13,7.404492e-16
3.446351e+03,2.302271e-13,7.394884e-16
3.449099e+03,2.326289e-13,7.427501e-16
3.451848e+03,2.354460e-13,7.482426e-16
3.454596e+03,2.323721e-13,8.740513e-16
3.457344e+03,2.330507e-13,7.654678e-16
3.460092e+03,2.346705e-13,8.685802e-16
3.462840e+03,2.344822e-13,7.395831e-16
3.465588e+03,2.361863e-13,7.404187e-16
3.468336e+03,2.369781e-13,7.442391e-16
3.471084e+03,2.348736e-13,7.363193e-16
3.473832e+03,2.328742e-13,7.326834e-16
3.476580e+03,2.390400e-13,7.474461e-16
3.479329e+03,2.416874e-13,7.425638e-16
3.482077e+03,2.449097e-13,7.469158e-16
3.484825e+03,2.490421e-13,7.522891e-16
3.487573e+03,2.513250e-13,7.543620e-16
3.490321e+03,2.556533e-13,7.633618e-16
3.493070e+03,2.571312e-13,7.699089e-16
3.495818e+03,2.626595e-13,7.718969e-16
3.498566e+03,2.657869e-13,7.758837e-16
3.501314e+03,2.666085e-13,7.751208e-16
3.504062e+03,2.697280e-13,7.781295e-16
3.506811e+03,2.692745e-13,7.796382e-16
3.509559e+03,2.722399e-13,7.802340e-16
3.512307e+03,2.705794e-13,7.778766e-16
3.515055e+03,2.717735e-13,7.777811e-16
3.517804e+03,2.744777e-13,7.809110e-16
3.520552e+03,2.753350e-13,9.351430e-16
3.523300e+03,2.744717e-13,7.781402e-16
3.526049e+03,2.749757e-13,7.835795e-16
3.528797e+03,2.730453e-13,7.762935e-16
3.531545e+03,2.741001e-13,7.727486e-16
3.534293e+03,2.761637e-13,7.767643e-16
3.537042e+03,2.774228e-13,7.824520e-16
3.539790e+03,2.793784e-13,7.824156e-16
3.542538e+03,2.782728e-13,7.769467e-16
3.545287e+03,2.800771e-13,7.799685e-16
3.548035e+03,2.799206e-13,7.785509e-16
3.550784e+03,2.773744e-13,7.730360e-16
3.553532e+03,2.777732e-13,7.751639e-16
3.556280e+03,2.789678e-13,7.752609e-16
3.559029e+03,2.798132e-13,7.760278e-16
3.561777e+03,2.791553e-13,7.759355e-16
3.564525e+03,2.822422e-13,7.792500e-16
3.567274e+03,2.797721e-13,7.738092e-16
3.570022e+03,2.804773e-13,7.740003e-16
3.572771e+03,2.765348e-13,7.695767e-16
3.575519e+03,2.818420e-13,7.768662e-16
3.578268e+03,2.782457e-13,7.680246e-16
3.581016e+03,2.782067e-13,7.699578e-16
3.583764e+03,2.744498e-13,7.610456e-16
3.586513e+03,2.687746e-13,7.556598e-16
