wavelength_angstrom,flux_erg_s_cm2_angstrom,error
2.888662e+03,9.057099e-16,4.111725e-15
2.891407e+03,1.245381e-15,2.803163e-15
2.894152e+03,4.423999e-15,2.456606e-15
2.896897e+03,7.355418e-15,2.066515e-15
2.899642e+03,6.767987e-15,1.857894e-15
2.902386e+03,8.309809e-15,1.750327e-15
2.905131e+03,7.617740e-15,1.542036e-15
2.907876e+03,1.153251e-14,1.460932e-15
2.910621e+03,9.221139e-15,2.271892e-15
2.913366e+03,8.912086e-15,1.250364e-15
2.916111e+03,1.092155e-14,1.125803e-15
2.918856e+03,1.111466e-14,1.002320e-15
2.921601e+03,9.933560e-15,9.977647e-16
2.924346e+03,8.695291e-15,8.287862e-16
2.927091e+03,9.417130e-15,8.696794e-16
2.929836e+03,1.159556e-14,7.031188e-16
2.932581e+03,9.513042e-15,7.758679e-16
2.935326e+03,1.257921e-14,7.617355e-16
2.938071e+03,7.111727e-14,2.180645e-15
2.940817e+03,9.668429e-15,4.491330e-16
2.943562e+03,9.949518e-15,4.262871e-16
2.946307e+03,1.017452e-14,4.041531e-16
2.949052e+03,9.434339e-15,3.633428e-16
2.951797e+03,9.833633e-15,3.356607e-16
2.954543e+03,1.010138e-14,3.249181e-16
2.957288e+03,1.011386e-14,3.046534e-16
2.960033e+03,1.017948e-14,3.747025e-16
2.962779e+03,1.067322e-14,2.813275e-16
2.965524e+03,1.045580e-14,2.686320e-16
2.968269e+03,1.155812e-14,2.718029e-16
2.971015e+03,1.098427e-14,2.563367e-16
2.973760e+03,1.028728e-14,2.450164e-16
2.976506e+03,1.132461e-14,2.492202e-16
2.979251e+03,1.148501e-14,2.473524e-16
2.981997e+03,1.142103e-14,2.457294e-16
2.984742e+03,1.186782e-14,2.509454e-16
2.987488e+03,1.196242e-14,2.944866e-16
2.990233e+03,1.161133e-14,2.410627e-16
2.992979e+03,1.247233e-14,2.457020e-16
2.995724e+03,1.188398e-14,2.436878e-16
2.998470e+03,1.214039e-14,2.367933e-16
3.001215e+03,1.207283e-14,2.360749e-16
3.003961e+03,1.224853e-14,2.362333e-16
3.006707e+03,1.307043e-14,3.402455e-16
3.009452e+03,1.180659e-14,2.269340e-16
3.012198e+03,1.262068e-14,2.340099e-16
3.014944e+03,1.268522e-14,2.317105e-16
3.017690e+03,1.271831e-14,3.823362e-16
3.020435e+03,1.236481e-14,2.239813e-16
3.023181e+03,1.271169e-14,2.230101e-16
3.025927e+03,1.313554e-14,2.247516e-16
3.028673e+03,1.319028e-14,2.245570e-16
3.031418e+03,1.310941e-14,2.190546e-16
3.034164e+03,1.316078e-14,2.186419e-16
3.036910e+03,1.367025e-14,2.194391e-16
3.039656e+03,1.359910e-14,2.354167e-16
3.042402e+03,1.436563e-14,2.207915e-16
3.045148e+03,1.428424e-14,2.172289e-16
3.047894e+03,1.465549e-14,2.170062e-16
3.050640e+03,1.488359e-14,2.180262e-16
3.053386e+03,1.495545e-14,2.145183e-16
3.056132e+03,1.555922e-14,2.168950e-16
3.058878e+03,1.535413e-14,2.219060e-16
3.061624e+03,1.580445e-14,2.244769e-16
3.064370e+03,1.634692e-14,2.224057e-16
3.067116e+03,1.636288e-14,2.252418e-16
3.069862e+03,1.678297e-14,2.158420e-16
3.072608e+03,1.705855e-14,2.157555e-16
3.075354e+03,1.816498e-14,2.217083e-16
3.078101e+03,1.863505e-14,2.237380e-16
3.080847e+03,1.897148e-14,2.253068e-16
3.083593e+03,1.963798e-14,2.472271e-16
3.086339e+03,1.969387e-14,2.248052e-16
3.089085e+03,1.945382e-14,2.283504e-16
3.091832e+03,2.046286e-14,2.272561e-16
3.094578e+03,2.077647e-14,2.353867e-16
3.097324e+03,2.114284e-14,2.335989e-16
3.100070e+03,2.154608e-14,2.302066e-16
3.102817e+03,2.198565e-14,2.331816e-16
3.105563e+03,2.218853e-14,2.343292e-16
3.108309e+03,2.207225e-14,2.334087e-16
3.111056e+03,2.246752e-14,2.338306e-16
3.113802e+03,2.225905e-14,2.319043e-16
3.116549e+03,2.230714e-14,2.543836e-16
3.119295e+03,2.169840e-14,2.274854e-16
3.122041e+03,2.135838e-14,2.236583e-16
3.124788e+03,2.117745e-14,2.232517e-16
3.127534e+03,2.117140e-14,2.233819e-16
3.130281e+03,2.144770e-14,2.244308e-16
3.133027e+03,2.150266e-14,2.222605e-16
3.135774e+03,2.090063e-14,2.261209e-16
3.138520e+03,2.099854e-14,2.180545e-16
3.141267e+03,2.055474e-14,2.209181e-16
3.144014e+03,2.053572e-14,2.226166e-16
3.146760e+03,2.060318e-14,2.149060e-16
3.149507e+03,2.048001e-14,2.153516e-16
3.152253e+03,2.037788e-14,2.126683e-16
3.155000e+03,2.110851e-14,2.171232e-16
3.157747e+03,2.035481e-14,2.099966e-16
3.160493e+03,2.010637e-14,2.112196e-16
3.163240e+03,1.964840e-14,2.288206e-16
3.165987e+03,1.980765e-14,2.046998e-16
3.168734e+03,2.002451e-14,2.057779e-16
3.171480e+03,1.988248e-14,2.032169e-16
3.174227e+03,1.946049e-14,2.017290e-16
3.176974e+03,1.936392e-14,2.003036e-16
3.179721e+03,1.898022e-14,1.991574e-16
3.182467e+03,1.890309e-14,1.946556e-16
3.185214e+03,1.874033e-14,1.932755e-16
3.187961e+03,1.847743e-14,2.033516e-16
3.190708e+03,1.824770e-14,1.893776e-16
3.193455e+03,1.828544e-14,1.881732e-16
3.196202e+03,1.766051e-14,1.853411e-16
3.198949e+03,1.757526e-14,1.841670e-16
3.201695e+03,1.773943e-14,1.836737e-16
3.204442e+03,1.758566e-14,1.829451e-16
3.207189e+03,1.784357e-14,2.534281e-16
3.209936e+03,1.742142e-14,1.836461e-16
3.212683e+03,1.701510e-14,1.802781e-16
3.215430e+03,1.684863e-14,1.774061e-16
3.218177e+03,1.695822e-14,1.761512e-16
3.220924e+03,1.682095e-14,1.749376e-16
3.223671e+03,1.656660e-14,1.724769e-16
3.226418e+03,1.673598e-14,1.726738e-16
3.229165e+03,1.647374e-14,1.709781e-16
3.231913e+03,1.665984e-14,1.711237e-16
3.234660e+03,1.645528e-14,1.841762e-16
3.237407e+03,1.631933e-14,1.688734e-16
3.240154e+03,1.660942e-14,1.845501e-16
3.242901e+03,1.687850e-14,1.737695e-16
3.245648e+03,1.622579e-14,1.671439e-16
3.248395e+03,1.596042e-14,1.748309e-16
3.251143e+03,1.648742e-14,1.679046e-16
3.253890e+03,1.644704e-14,1.670386e-16
3.256637e+03,1.679897e-14,1.711969e-16
3.259384e+03,1.687029e-14,1.679443e-16
3.262131e+03,1.659859e-14,1.658862e-16
3.264879e+03,1.631666e-14,1.658900e-16
3.267626e+03,1.668644e-14,1.660112e-16
3.270373e+03,1.693897e-14,1.662123e-16
3.273120e+03,1.766810e-14,1.720491e-16
3.275868e+03,1.784889e-14,1.711346e-16
3.278615e+03,1.767265e-14,1.677267e-16
3.281362e+03,1.769869e-14,1.681376e-16
3.284110e+03,1.788135e-14,1.694943e-16
3.286857e+03,1.815817e-14,1.703669e-16
3.289605e+03,1.796143e-14,1.675085e-16
3.292352e+03,1.824870e-14,1.678743e-16
3.295099e+03,1.825828e-14,1.715702e-16
3.297847e+03,1.903490e-14,1.707758e-16
3.300594e+03,1.864140e-14,1.693748e-16
3.303342e+03,1.949064e-14,1.723487e-16
3.306089e+03,1.923680e-14,1.701163e-16
3.308837e+03,1.950788e-14,1.711356e-16
3.311584e+03,1.993081e-14,1.737230e-16
3.314331e+03,2.051986e-14,1.758220e-16
3.317079e+03,2.065825e-14,1.746936e-16
3.319827e+03,2.083687e-14,1.747219e-16
3.322574e+03,2.146747e-14,1.776595e-16
3.325322e+03,2.151564e-14,1.806331e-16
3.328069e+03,2.225393e-14,1.793590e-16
3.330817e+03,2.254163e-14,1.809257e-16
3.333564e+03,2.250711e-14,1.800978e-16
3.336312e+03,2.270917e-14,1.796541e-16
3.339059e+03,2.281855e-14,1.794431e-16
3.341807e+03,2.280685e-14,1.789550e-16
3.344555e+03,2.338088e-14,1.819028e-16
3.347302e+03,2.341033e-14,1.827342e-16
3.350050e+03,2.264561e-14,2.734621e-16
3.352798e+03,2.353199e-14,1.793198e-16
3.355545e+03,2.320184e-14,1.785462e-16
3.358293e+03,2.369682e-14,1.819674e-16
3.361041e+03,2.376970e-14,1.788526e-16
3.363788e+03,2.441901e-14,1.816053e-16
3.366536e+03,2.453111e-14,1.815231e-16
3.369284e+03,2.466966e-14,1.815019e-16
3.372032e+03,2.546966e-14,1.841820e-16
3.374779e+03,2.556138e-14,1.838125e-16
3.377527e+03,2.542677e-14,1.839683e-16
3.380275e+03,2.558991e-14,1.831094e-16
3.383023e+03,2.637750e-14,1.845767e-16
3.385771e+03,2.631645e-14,1.847051e-16
3.388518e+03,2.660050e-14,1.861651e-16
3.391266e+03,2.200666e-14,3.084006e-16
3.394014e+03,2.745382e-14,1.893359e-16
3.396762e+03,2.753142e-14,1.914210e-16
3.399510e+03,2.801393e-14,1.896121e-16
3.402258e+03,2.805065e-14,1.876399e-16
3.405006e+03,2.859502e-14,1.879045e-16
3.407753e+03,2.866492e-14,1.879145e-16
3.410501e+03,2.897635e-14,1.891776e-16
3.413249e+03,2.925022e-14,1.982468e-16
3.415997e+03,2.973440e-14,1.901965e-16
3.418745e+03,2.992172e-14,1.909199e-16
3.421493e+03,3.058217e-14,1.989922e-16
3.424241e+03,3.166754e-14,1.942588e-16
3.426989e+03,3.297677e-14,1.980653e-16
3.429737e+03,3.322797e-14,1.986663e-16
3.432485e+03,3.418018e-14,2.013856e-16
3.435233e+03,3.490046e-14,2.060860e-16
3.437981e+03,3.598818e-14,2.083631e-16
3.440729e+03,3.623315e-14,2.054565e-16
