wavelength_angstrom,flux_erg_s_cm2_angstrom,error
5.258302e+03,2.401938e-13,1.191297e-14
5.263170e+03,1.913194e-13,1.522378e-15
5.268039e+03,1.922462e-13,1.408644e-15
5.272908e+03,2.140523e-13,1.387087e-15
5.277777e+03,2.264961e-13,1.341310e-15
5.282645e+03,2.404502e-13,1.309976e-15
5.287514e+03,2.566574e-13,1.288385e-15
5.292383e+03,2.637939e-13,1.252359e-15
5.297252e+03,2.728350e-13,1.223819e-15
5.302121e+03,2.747214e-13,1.270749e-15
5.306991e+03,2.789949e-13,1.252763e-15
5.311860e+03,2.803380e-13,1.564039e-15
5.316729e+03,2.903618e-13,1.258896e-15
5.321598e+03,2.834423e-13,1.446373e-15
5.326468e+03,2.899399e-13,1.471722e-15
5.331337e+03,2.998749e-13,1.502106e-15
5.336207e+03,3.010652e-13,1.447929e-15
5.341076e+03,3.080788e-13,1.248045e-15
5.345946e+03,3.123146e-13,1.273393e-15
5.350815e+03,3.165417e-13,1.296747e-15
5.355685e+03,3.195925e-13,1.312644e-15
5.360555e+03,3.163882e-13,1.408704e-15
5.365425e+03,3.067493e-13,1.640364e-15
5.370295e+03,3.146019e-13,1.591889e-15
5.375165e+03,3.163395e-13,1.336921e-15
5.380035e+03,3.134465e-13,1.594564e-15
5.384905e+03,3.147883e-13,1.332306e-15
5.389775e+03,3.078671e-13,1.309714e-15
5.394645e+03,3.006686e-13,1.625206e-15
5.399515e+03,3.055903e-13,1.383321e-15
5.404386e+03,2.966691e-13,1.267276e-15
5.409256e+03,2.878464e-13,1.548869e-15
5.414127e+03,2.871946e-13,1.222054e-15
5.418997e+03,2.772048e-13,1.492215e-15
5.423868e+03,2.736405e-13,1.389148e-15
5.428738e+03,2.672854e-13,1.426939e-15
5.433609e+03,2.590854e-13,1.393639e-15
5.438479e+03,2.590951e-13,1.099731e-15
5.443350e+03,2.493123e-13,1.337808e-15
5.448221e+03,2.495957e-13,1.057201e-15
5.453092e+03,2.409770e-13,1.287911e-15
5.457963e+03,2.450000e-13,1.284149e-15
5.462834e+03,2.434673e-13,1.082776e-15
5.467705e+03,2.426025e-13,1.259447e-15
5.472576e+03,2.539603e-13,1.088713e-15
5.477447e+03,2.587723e-13,1.095842e-15
5.482318e+03,2.603222e-13,1.093250e-15
5.487190e+03,2.713522e-13,1.102917e-15
5.492061e+03,2.723253e-13,1.291125e-15
5.496932e+03,2.797946e-13,1.304103e-15
5.501804e+03,2.884147e-13,1.326300e-15
5.506675e+03,2.927009e-13,1.330401e-15
5.511547e+03,3.012871e-13,1.350160e-15
5.516418e+03,3.091717e-13,1.369091e-15
5.521290e+03,3.235081e-13,1.117608e-15
5.526162e+03,3.175944e-13,1.381537e-15
5.531033e+03,3.250410e-13,1.390920e-15
5.535905e+03,3.252815e-13,1.398362e-15
5.540777e+03,3.280585e-13,1.336497e-15
5.545649e+03,3.331531e-13,1.414081e-15
5.550521e+03,3.253819e-13,1.421012e-15
5.555393e+03,3.226010e-13,1.382992e-15
5.560265e+03,3.201258e-13,1.378559e-15
5.565137e+03,3.245871e-13,1.190697e-15
5.570009e+03,3.209111e-13,1.172061e-15
5.574882e+03,3.230330e-13,1.176248e-15
5.579754e+03,3.218044e-13,1.381464e-15
5.584626e+03,3.281629e-13,1.323995e-15
5.589499e+03,3.322484e-13,1.332082e-15
5.594371e+03,3.313658e-13,1.185053e-15
5.599244e+03,3.339033e-13,1.184593e-15
5.604116e+03,3.353929e-13,1.184384e-15
5.608989e+03,3.339999e-13,1.321411e-15
5.613861e+03,3.323469e-13,1.375709e-15
5.618734e+03,3.312818e-13,1.309713e-15
5.623607e+03,3.344319e-13,1.378021e-15
5.628480e+03,3.305248e-13,1.375713e-15
5.633353e+03,3.291748e-13,1.354762e-15
5.638225e+03,3.366620e-13,1.364237e-15
5.643098e+03,3.312422e-13,1.352208e-15
5.647971e+03,3.346159e-13,1.154025e-15
5.652845e+03,3.332907e-13,1.356815e-15
5.657718e+03,3.304291e-13,1.342274e-15
5.662591e+03,3.310662e-13,1.340006e-15
5.667464e+03,3.286377e-13,1.336542e-15
5.672337e+03,3.310528e-13,1.339842e-15
5.677211e+03,3.287488e-13,1.333245e-15
5.682084e+03,3.279035e-13,1.359203e-15
5.686957e+03,3.298523e-13,1.325865e-15
