wavelength_angstrom,flux_erg_s_cm2_angstrom,error
5.266674e+03,4.132992e-13,2.030072e-14
5.271543e+03,3.122957e-13,1.794224e-15
5.276413e+03,3.076314e-13,2.108535e-15
5.281283e+03,3.183197e-13,1.742433e-15
5.286153e+03,3.213301e-13,1.574624e-15
5.291024e+03,3.213680e-13,1.596921e-15
5.295894e+03,3.136868e-13,1.552042e-15
5.300764e+03,3.115009e-13,1.493282e-15
5.305634e+03,3.128049e-13,1.440069e-15
5.310504e+03,3.043945e-13,1.272620e-15
5.315375e+03,3.118301e-13,1.285420e-15
5.320245e+03,3.100746e-13,1.274695e-15
5.325116e+03,3.106555e-13,1.364703e-15
5.329986e+03,3.084333e-13,1.397459e-15
5.334857e+03,3.098882e-13,1.463441e-15
5.339727e+03,3.134271e-13,1.717702e-15
5.344598e+03,3.161126e-13,1.602586e-15
5.349469e+03,3.213773e-13,1.371122e-15
5.354340e+03,3.325235e-13,1.411802e-15
5.359210e+03,3.381422e-13,1.433285e-15
5.364081e+03,3.436824e-13,1.456289e-15
5.368952e+03,3.500701e-13,1.616656e-15
5.373823e+03,3.547267e-13,1.489350e-15
5.378694e+03,3.585570e-13,1.497872e-15
5.383565e+03,3.548856e-13,1.492217e-15
5.388436e+03,3.553048e-13,1.486630e-15
5.393307e+03,3.486440e-13,1.633443e-15
5.398179e+03,3.519543e-13,1.604602e-15
5.403050e+03,3.476092e-13,1.448419e-15
5.407921e+03,3.463446e-13,1.431873e-15
5.412792e+03,3.416006e-13,1.412460e-15
5.417664e+03,3.384945e-13,1.387740e-15
5.422535e+03,3.267133e-13,1.400894e-15
5.427407e+03,3.173880e-13,1.478793e-15
5.432278e+03,3.122540e-13,1.339514e-15
5.437150e+03,3.102144e-13,1.380699e-15
5.442022e+03,2.954312e-13,1.338930e-15
5.446893e+03,2.943625e-13,1.249491e-15
5.451765e+03,2.818641e-13,1.170305e-15
5.456637e+03,2.704575e-13,1.136840e-15
5.461509e+03,2.687214e-13,1.232355e-15
5.466380e+03,2.619677e-13,1.203498e-15
5.471252e+03,2.577769e-13,1.078410e-15
5.476124e+03,2.587203e-13,1.075166e-15
5.480996e+03,2.592777e-13,1.071256e-15
5.485868e+03,2.585915e-13,1.061541e-15
5.490741e+03,2.654907e-13,1.071736e-15
5.495613e+03,2.754412e-13,1.089399e-15
5.500485e+03,2.854314e-13,1.286231e-15
5.505357e+03,2.971204e-13,1.276541e-15
5.510229e+03,3.107320e-13,1.301026e-15
5.515102e+03,3.201868e-13,1.375789e-15
5.519974e+03,3.310548e-13,1.435875e-15
5.524847e+03,3.413515e-13,1.353667e-15
5.529719e+03,3.546276e-13,1.446633e-15
5.534592e+03,3.635047e-13,1.377604e-15
5.539464e+03,3.739603e-13,1.259138e-15
5.544337e+03,3.749475e-13,1.470354e-15
5.549209e+03,3.854779e-13,1.324086e-15
5.554082e+03,3.922643e-13,1.527725e-15
5.558955e+03,4.006335e-13,1.403766e-15
5.563828e+03,4.004829e-13,1.475524e-15
5.568701e+03,4.014511e-13,1.530016e-15
5.573573e+03,4.055347e-13,1.441127e-15
5.578446e+03,4.075701e-13,1.444199e-15
5.583319e+03,4.038529e-13,1.436425e-15
5.588192e+03,4.013312e-13,1.435696e-15
5.593065e+03,4.079131e-13,1.308580e-15
5.597939e+03,4.144726e-13,1.450024e-15
5.602812e+03,4.105843e-13,1.489297e-15
5.607685e+03,4.164478e-13,1.445068e-15
5.612558e+03,4.088843e-13,1.738120e-15
5.617431e+03,4.112961e-13,1.521287e-15
5.622305e+03,4.050447e-13,1.452661e-15
5.627178e+03,4.086722e-13,1.414471e-15
5.632052e+03,4.083137e-13,1.286749e-15
5.636925e+03,3.986560e-13,1.624963e-15
5.641799e+03,4.011000e-13,1.400048e-15
5.646672e+03,3.963669e-13,1.381840e-15
5.651546e+03,3.882254e-13,1.368784e-15
5.656419e+03,3.922235e-13,1.237270e-15
5.661293e+03,3.910955e-13,1.238111e-15
5.666167e+03,3.874872e-13,1.271779e-15
5.671040e+03,3.806616e-13,1.388722e-15
5.675914e+03,3.822885e-13,1.380215e-15
5.680788e+03,3.741156e-13,1.608587e-15
5.685662e+03,3.746399e-13,1.374731e-15
5.690536e+03,3.672786e-13,1.559819e-15
5.695410e+03,3.678813e-13,1.388749e-15
5.700284e+03,3.703798e-13,1.363221e-15
5.705158e+03,3.719752e-13,1.186053e-15
5.710032e+03,3.641084e-13,1.458886e-15
5.714906e+03,3.655233e-13,1.386490e-15
5.719780e+03,3.575521e-13,1.408975e-15
5.724655e+03,3.609024e-13,1.166573e-15
5.729529e+03,3.544341e-13,1.292630e-15
5.734403e+03,3.476653e-13,1.270819e-15
5.739277e+03,3.447293e-13,1.335385e-15
5.744152e+03,3.397168e-13,1.120801e-15
5.749026e+03,3.329101e-13,1.317062e-15
5.753901e+03,3.268255e-13,1.258674e-15
5.758775e+03,3.295609e-13,1.261163e-15
5.763650e+03,3.301858e-13,1.104038e-15
5.768524e+03,3.177226e-13,1.205518e-15
5.773399e+03,3.172241e-13,1.202569e-15
5.778274e+03,3.196970e-13,1.076640e-15
5.783148e+03,3.144070e-13,1.367507e-15
5.788023e+03,3.112952e-13,1.249808e-15
5.792898e+03,3.175466e-13,1.067212e-15
5.797773e+03,3.171083e-13,1.062455e-15
5.802648e+03,3.219890e-13,1.199480e-15
5.807523e+03,3.190759e-13,1.228224e-15
5.812397e+03,3.271402e-13,1.120137e-15
5.817272e+03,3.289867e-13,1.077785e-15
5.822147e+03,3.336881e-13,1.219004e-15
5.827023e+03,3.327135e-13,1.251137e-15
5.831898e+03,3.387356e-13,1.221473e-15
5.836773e+03,3.442139e-13,1.096001e-15
5.841648e+03,3.447147e-13,1.093964e-15
5.846523e+03,3.476607e-13,1.280320e-15
5.851398e+03,3.423221e-13,1.252466e-15
5.856274e+03,3.435201e-13,1.310522e-15
5.861149e+03,3.441050e-13,1.439676e-15
5.866024e+03,3.474195e-13,1.351900e-15
5.870900e+03,3.432417e-13,1.192789e-15
5.875775e+03,3.458436e-13,1.231210e-15
5.880651e+03,3.418890e-13,1.222112e-15
5.885526e+03,3.404937e-13,1.283207e-15
5.890402e+03,3.388832e-13,1.390701e-15
5.895277e+03,3.393495e-13,1.292404e-15
5.900153e+03,3.429974e-13,1.269448e-15
5.905029e+03,3.419899e-13,1.225538e-15
5.909904e+03,3.396855e-13,1.398951e-15
5.914780e+03,3.397047e-13,1.401724e-15
5.919656e+03,3.419386e-13,1.190876e-15
5.924532e+03,3.348608e-13,1.304411e-15
5.929408e+03,3.425095e-13,1.231146e-15
5.934284e+03,3.401363e-13,1.318209e-15
5.939159e+03,3.439207e-13,1.266100e-15
5.944035e+03,3.387645e-13,1.397655e-15
5.948911e+03,3.420886e-13,1.343060e-15
5.953787e+03,3.385037e-13,1.225518e-15
5.958664e+03,3.330807e-13,1.288783e-15
5.963540e+03,3.370559e-13,1.394483e-15
5.968416e+03,3.355209e-13,1.080184e-15
5.973292e+03,3.345783e-13,1.309488e-15
5.978168e+03,3.338298e-13,1.258738e-15
5.983044e+03,3.314871e-13,1.214187e-15
5.987921e+03,3.314178e-13,1.112532e-15
5.992797e+03,3.333422e-13,1.073404e-15
5.997673e+03,3.322977e-13,1.071012e-15
6.002550e+03,3.302356e-13,1.334965e-15
6.007426e+03,3.287679e-13,1.237952e-15
6.012303e+03,3.232249e-13,1.196751e-15
6.017179e+03,3.272945e-13,1.198312e-15
