wavelength_angstrom,flux_erg_s_cm2_angstrom,error
5.257899e+03,1.699251e-13,8.438215e-15
5.262767e+03,1.337926e-13,8.210492e-16
5.267636e+03,1.403997e-13,7.798750e-16
5.272505e+03,1.527489e-13,7.557396e-16
5.277373e+03,1.634693e-13,7.340230e-16
5.282242e+03,1.771616e-13,7.267422e-16
5.287111e+03,1.867049e-13,7.082818e-16
5.291980e+03,1.920458e-13,6.889508e-16
5.296849e+03,1.973915e-13,6.703406e-16
5.301718e+03,1.988321e-13,6.526823e-16
5.306587e+03,2.038648e-13,6.475556e-16
5.311456e+03,2.055274e-13,6.388832e-16
5.316326e+03,2.098033e-13,6.428492e-16
5.321195e+03,2.131991e-13,6.481093e-16
5.326064e+03,2.191227e-13,6.630057e-16
5.330934e+03,2.209329e-13,6.667817e-16
5.335803e+03,2.231918e-13,6.774813e-16
5.340673e+03,2.196065e-13,6.785839e-16
5.345542e+03,2.193211e-13,6.886973e-16
5.350412e+03,2.181058e-13,6.931260e-16
5.355282e+03,2.171489e-13,7.195214e-16
5.360152e+03,2.170028e-13,7.276483e-16
5.365021e+03,2.166736e-13,7.078868e-16
5.369891e+03,2.159420e-13,7.830680e-16
5.374761e+03,2.140034e-13,7.087711e-16
5.379631e+03,2.141872e-13,7.098326e-16
5.384501e+03,2.113513e-13,7.021341e-16
5.389372e+03,2.080063e-13,6.942950e-16
5.394242e+03,2.054785e-13,6.878684e-16
5.399112e+03,2.015316e-13,6.988891e-16
5.403982e+03,1.986692e-13,6.794090e-16
5.408853e+03,1.949407e-13,6.537545e-16
5.413723e+03,1.914028e-13,6.425973e-16
5.418593e+03,1.884527e-13,6.301044e-16
5.423464e+03,1.831763e-13,6.158322e-16
5.428335e+03,1.793070e-13,6.001566e-16
5.433205e+03,1.763705e-13,5.913474e-16
5.438076e+03,1.742463e-13,5.796237e-16
5.442947e+03,1.730346e-13,5.721098e-16
5.447817e+03,1.728421e-13,5.663847e-16
5.452688e+03,1.733989e-13,5.613688e-16
5.457559e+03,1.757170e-13,5.590158e-16
5.462430e+03,1.808365e-13,5.747116e-16
5.467301e+03,1.821809e-13,5.597002e-16
5.472172e+03,1.880834e-13,5.635777e-16
