obsID,obs_collection,dataproduct_type,obs_id,description,type,dataURI,productType,productGroupDescription,productSubGroupDescription,productDocumentationURL,project,prvversion,proposal_id,productFilename,size,parent_obsid,dataRights,calib_level,filters
24963078,HST,spectrum,obnd47060,DADS SX1 file - Calibrated combined 1D spectrum STIS,D,mast:HST/product/obnd47060_sx1.fits,SCIENCE,Minimum Recommended Products,SX1,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd47060_sx1.fits,80640,24963078,PUBLIC,3,G750L
24963080,HST,spectrum,obnd48010,DADS X1D file - Calibrated 1D spectrum STIS,D,mast:HST/product/obnd48010_x1d.fits,SCIENCE,Minimum Recommended Products,X1D,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd48010_x1d.fits,132480,24963080,PUBLIC,2,G230L
24963081,HST,spectrum,obnd49010,DADS X1D file - Calibrated 1D spectrum STIS,D,mast:HST/product/obnd49010_x1d.fits,SCIENCE,Minimum Recommended Products,X1D,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd49010_x1d.fits,132480,24963081,PUBLIC,2,G230L
24963082,HST,spectrum,obnd50010,DADS SX1 file - Calibrated combined 1D spectrum STIS,D,mast:HST/product/obnd50010_sx1.fits,SCIENCE,Minimum Recommended Products,SX1,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd50010_sx1.fits,80640,24963082,PUBLIC,3,G230LB
24963083,HST,spectrum,obnd50020,DADS SX1 file - Calibrated combined 1D spectrum STIS,D,mast:HST/product/obnd50020_sx1.fits,SCIENCE,Minimum Recommended Products,SX1,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd50020_sx1.fits,80640,24963083,PUBLIC,3,G230LB
24963084,HST,spectrum,obnd50030,DADS SX1 file - Calibrated combined 1D spectrum STIS,D,mast:HST/product/obnd50030_sx1.fits,SCIENCE,Minimum Recommended Products,SX1,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd50030_sx1.fits,80640,24963084,PUBLIC,3,G430L
24963085,HST,spectrum,obnd50040,DADS SX1 file - Calibrated combined 1D spectrum STIS,D,mast:HST/product/obnd50040_sx1.fits,SCIENCE,Minimum Recommended Products,SX1,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd50040_sx1.fits,80640,24963085,PUBLIC,3,G430L
24963086,HST,spectrum,obnd50050,DADS SX1 file - Calibrated combined 1D spectrum STIS,D,mast:HST/product/obnd50050_sx1.fits,SCIENCE,Minimum Recommended Products,SX1,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd50050_sx1.fits,80640,24963086,PUBLIC,3,G750L
24963087,HST,spectrum,obnd50060,DADS SX1 file - Calibrated combined 1D spectrum STIS,D,mast:HST/product/obnd50060_sx1.fits,SCIENCE,Minimum Recommended Products,SX1,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd50060_sx1.fits,80640,24963087,PUBLIC,3,G750L
24963089,HST,spectrum,obnd50080,DADS X1D file - Calibrated 1D spectrum STIS,D,mast:HST/product/obnd50080_x1d.fits,SCIENCE,Minimum Recommended Products,X1D,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd50080_x1d.fits,77760,24963089,PUBLIC,2,G140L
24963090,HST,spectrum,obnd50090,DADS X1D file - Calibrated 1D spectrum STIS,D,mast:HST/product/obnd50090_x1d.fits,SCIENCE,Minimum Recommended Products,X1D,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd50090_x1d.fits,77760,24963090,PUBLIC,2,G140L
24963091,HST,spectrum,obnd500a0,DADS X1D file - Calibrated 1D spectrum STIS,D,mast:HST/product/obnd500a0_x1d.fits,SCIENCE,Minimum Recommended Products,X1D,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd500a0_x1d.fits,77760,24963091,PUBLIC,2,G140L
24963092,HST,spectrum,obnd51010,DADS SX1 file - Calibrated combined 1D spectrum STIS,D,mast:HST/product/obnd51010_sx1.fits,SCIENCE,Minimum Recommended Products,SX1,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd51010_sx1.fits,80640,24963092,PUBLIC,3,G230LB
24963093,HST,spectrum,obnd51020,DADS SX1 file - Calibrated combined 1D spectrum STIS,D,mast:HST/product/obnd51020_sx1.fits,SCIENCE,Minimum Recommended Products,SX1,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd51020_sx1.fits,80640,24963093,PUBLIC,3,G230LB
24963094,HST,spectrum,obnd51030,DADS SX1 file - Calibrated combined 1D spectrum STIS,D,mast:HST/product/obnd51030_sx1.fits,SCIENCE,Minimum Recommended Products,SX1,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd51030_sx1.fits,80640,24963094,PUBLIC,3,G430L
24963095,HST,spectrum,obnd51040,DADS SX1 file - Calibrated combined 1D spectrum STIS,D,mast:HST/product/obnd51040_sx1.fits,SCIENCE,Minimum Recommended Products,SX1,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd51040_sx1.fits,80640,24963095,PUBLIC,3,G430L
24963096,HST,spectrum,obnd51050,DADS SX1 file - Calibrated combined 1D spectrum STIS,D,mast:HST/product/obnd51050_sx1.fits,SCIENCE,Minimum Recommended Products,SX1,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd51050_sx1.fits,80640,24963096,PUBLIC,3,G750L
24963097,HST,spectrum,obnd51060,DADS SX1 file - Calibrated combined 1D spectrum STIS,D,mast:HST/product/obnd51060_sx1.fits,SCIENCE,Minimum Recommended Products,SX1,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd51060_sx1.fits,80640,24963097,PUBLIC,3,G750L
24963099,HST,spectrum,obnd51080,DADS X1D file - Calibrated 1D spectrum STIS,D,mast:HST/product/obnd51080_x1d.fits,SCIENCE,Minimum Recommended Products,X1D,,CALSTIS,3.4.2 (19-Jan-2018),12298,obnd51080_x1d.fits,132480,24963099,PUBLIC,2,G230L
