wavelength_angstrom,flux_erg_s_cm2_angstrom,error
2.901377e+03,4.530299e-13,2.525856e-14
2.904118e+03,3.268556e-13,1.925935e-14
2.906859e+03,3.752471e-13,1.864578e-14
2.909600e+03,3.691574e-13,1.714533e-14
2.912340e+03,4.228492e-13,1.667163e-14
2.915081e+03,3.120957e-13,1.790023e-14
2.917822e+03,3.713781e-13,1.402002e-14
2.920563e+03,4.132380e-13,1.918682e-14
2.923304e+03,4.663208e-13,1.420645e-14
2.926046e+03,3.575903e-13,1.337739e-14
2.928787e+03,3.865455e-13,1.187766e-14
2.931528e+03,3.352147e-13,1.022590e-14
2.934269e+03,3.518642e-13,1.045355e-14
2.937010e+03,3.393595e-13,8.416782e-15
2.939751e+03,3.419773e-13,8.309164e-15
2.942493e+03,3.445822e-13,7.568215e-15
2.945234e+03,3.112989e-13,6.667891e-15
2.947975e+03,3.319630e-13,6.490250e-15
2.950716e+03,3.474875e-13,6.318081e-15
2.953458e+03,3.442961e-13,5.985018e-15
2.956199e+03,3.177212e-13,5.520785e-15
2.958941e+03,3.403857e-13,5.618476e-15
2.961682e+03,3.316536e-13,5.208823e-15
2.964423e+03,3.511225e-13,5.189152e-15
2.967165e+03,3.384706e-13,4.973933e-15
2.969906e+03,3.258573e-13,5.166538e-15
2.972648e+03,3.337494e-13,4.714574e-15
2.975390e+03,3.521952e-13,4.748272e-15
2.978131e+03,3.271727e-13,4.511745e-15
2.980873e+03,3.125504e-13,4.339219e-15
2.983614e+03,2.956378e-13,4.167704e-15
2.986356e+03,2.940468e-13,4.168531e-15
2.989098e+03,2.959313e-13,4.245481e-15
2.991839e+03,2.712049e-13,4.504118e-15
2.994581e+03,2.865020e-13,3.989113e-15
2.997323e+03,2.930034e-13,4.005629e-15
3.000065e+03,2.608671e-13,3.743981e-15
3.002807e+03,2.631014e-13,3.741931e-15
3.005548e+03,2.611906e-13,3.744272e-15
3.008290e+03,2.411946e-13,3.538476e-15
3.011032e+03,2.497535e-13,3.569893e-15
3.013774e+03,2.623066e-13,3.643815e-15
3.016516e+03,2.533623e-13,3.539845e-15
3.019258e+03,2.474983e-13,3.475441e-15
3.022000e+03,2.419907e-13,3.395795e-15
3.024742e+03,2.375474e-13,4.306581e-15
3.027484e+03,2.380875e-13,4.618026e-15
3.030226e+03,2.566197e-13,3.408769e-15
3.032968e+03,2.585496e-13,3.485898e-15
