wavelength_angstrom,flux_erg_s_cm2_angstrom,error
5.257385e+03,9.097948e-14,4.589700e-15
5.262253e+03,7.127642e-14,4.173882e-16
5.267122e+03,7.501275e-14,3.993836e-16
5.271991e+03,8.228961e-14,3.857454e-16
5.276859e+03,8.876871e-14,3.758987e-16
5.281728e+03,9.452392e-14,3.968169e-16
5.286597e+03,9.893257e-14,4.293886e-16
5.291466e+03,1.033036e-13,3.516697e-16
5.296335e+03,1.064350e-13,3.418519e-16
5.301204e+03,1.081040e-13,3.339809e-16
5.306073e+03,1.101174e-13,3.296955e-16
5.310942e+03,1.117403e-13,3.257723e-16
5.315812e+03,1.149617e-13,3.292396e-16
5.320681e+03,1.148674e-13,3.287690e-16
5.325550e+03,1.178023e-13,3.359252e-16
5.330420e+03,1.167963e-13,3.347990e-16
5.335289e+03,1.164387e-13,3.378104e-16
5.340159e+03,1.130393e-13,3.360123e-16
5.345028e+03,1.138069e-13,3.423066e-16
5.349898e+03,1.125051e-13,3.435206e-16
5.354768e+03,1.116865e-13,3.444751e-16
5.359637e+03,1.117266e-13,3.484784e-16
5.364507e+03,1.101402e-13,3.760706e-16
5.369377e+03,1.110192e-13,3.517827e-16
5.374247e+03,1.090416e-13,3.495024e-16
5.379117e+03,1.070698e-13,3.464678e-16
5.383987e+03,1.060147e-13,3.433531e-16
5.388857e+03,1.043129e-13,3.395915e-16
5.393727e+03,1.026565e-13,3.358838e-16
5.398597e+03,1.008535e-13,3.297413e-16
5.403468e+03,9.927396e-14,3.259790e-16
5.408338e+03,9.750566e-14,3.194247e-16
5.413208e+03,9.509040e-14,3.130729e-16
5.418079e+03,9.304688e-14,3.058019e-16
5.422949e+03,9.206380e-14,3.019779e-16
5.427820e+03,9.015359e-14,2.945984e-16
5.432691e+03,8.956921e-14,2.911302e-16
5.437561e+03,8.964000e-14,2.874022e-16
5.442432e+03,8.894788e-14,2.835070e-16
5.447303e+03,8.990185e-14,2.825488e-16
5.452174e+03,9.012300e-14,2.810288e-16
5.457045e+03,9.301227e-14,2.813185e-16
