wavelength_angstrom,flux_erg_s_cm2_angstrom,error
5.257238e+03,2.953530e-13,1.476976e-14
5.262107e+03,2.225713e-13,1.671870e-15
5.266976e+03,2.288871e-13,1.562004e-15
5.271845e+03,2.399139e-13,1.484344e-15
5.276713e+03,2.495977e-13,1.425720e-15
5.281582e+03,2.644849e-13,1.397161e-15
5.286451e+03,2.765727e-13,1.352980e-15
5.291320e+03,2.867326e-13,1.316730e-15
5.296189e+03,2.905022e-13,1.280223e-15
5.301059e+03,2.918945e-13,1.233072e-15
5.305928e+03,2.995108e-13,1.221327e-15
5.310797e+03,3.009394e-13,1.202260e-15
5.315666e+03,3.043954e-13,1.204615e-15
5.320536e+03,2.998443e-13,1.192202e-15
5.325405e+03,3.093026e-13,1.216007e-15
5.330275e+03,3.139057e-13,1.229644e-15
5.335144e+03,3.155090e-13,1.247173e-15
5.340014e+03,3.206587e-13,1.270992e-15
5.344884e+03,3.294227e-13,1.304417e-15
5.349753e+03,3.333694e-13,1.328628e-15
5.354623e+03,3.413943e-13,1.356108e-15
5.359493e+03,3.443557e-13,1.375173e-15
5.364363e+03,3.466893e-13,1.384179e-15
5.369233e+03,3.483894e-13,1.543482e-15
5.374103e+03,3.539424e-13,1.416919e-15
5.378973e+03,3.513659e-13,1.408829e-15
5.383843e+03,3.511182e-13,1.411305e-15
5.388713e+03,3.491043e-13,1.440204e-15
5.393584e+03,3.462266e-13,1.502823e-15
5.398454e+03,3.471300e-13,1.385539e-15
5.403324e+03,3.399524e-13,1.358033e-15
5.408195e+03,3.391205e-13,1.346834e-15
5.413065e+03,3.311789e-13,1.317637e-15
5.417936e+03,3.263389e-13,1.391092e-15
5.422806e+03,3.204124e-13,1.271217e-15
5.427677e+03,3.144717e-13,1.243888e-15
5.432548e+03,3.026045e-13,1.203859e-15
5.437418e+03,2.967744e-13,1.179354e-15
5.442289e+03,2.865745e-13,1.145263e-15
5.447160e+03,2.806075e-13,1.123704e-15
5.452031e+03,2.776829e-13,1.107252e-15
5.456902e+03,2.705580e-13,1.080468e-15
5.461773e+03,2.638286e-13,1.054612e-15
5.466644e+03,2.632614e-13,1.049107e-15
5.471515e+03,2.623459e-13,1.035170e-15
5.476387e+03,2.673772e-13,1.039219e-15
5.481258e+03,2.651999e-13,1.030054e-15
5.486129e+03,2.719376e-13,1.034225e-15
5.491001e+03,2.818209e-13,1.050586e-15
5.495872e+03,2.873996e-13,1.059291e-15
5.500743e+03,3.002690e-13,1.078789e-15
5.505615e+03,3.066079e-13,1.089665e-15
5.510487e+03,3.162945e-13,1.221533e-15
5.515358e+03,3.247376e-13,1.236181e-15
5.520230e+03,3.354975e-13,1.258182e-15
5.525102e+03,3.487402e-13,1.155340e-15
5.529973e+03,3.557507e-13,1.165445e-15
5.534845e+03,3.572019e-13,1.165238e-15
5.539717e+03,3.641276e-13,1.177797e-15
5.544589e+03,3.750242e-13,1.237118e-15
5.549461e+03,3.808402e-13,1.206544e-15
5.554333e+03,3.813085e-13,1.207037e-15
5.559205e+03,3.806252e-13,1.288466e-15
5.564078e+03,3.790057e-13,1.283375e-15
5.568950e+03,3.772508e-13,1.193449e-15
5.573822e+03,3.712346e-13,1.184111e-15
5.578695e+03,3.703927e-13,1.179511e-15
5.583567e+03,3.684890e-13,1.171896e-15
5.588439e+03,3.710768e-13,1.178418e-15
5.593312e+03,3.717922e-13,1.178337e-15
5.598184e+03,3.759764e-13,1.182694e-15
5.603057e+03,3.795816e-13,1.187500e-15
5.607930e+03,3.795810e-13,1.183697e-15
5.612802e+03,3.803433e-13,1.181112e-15
5.617675e+03,3.785151e-13,1.173937e-15
5.622548e+03,3.816435e-13,1.173924e-15
5.627421e+03,3.775624e-13,1.164226e-15
5.632294e+03,3.782643e-13,1.171545e-15
5.637167e+03,3.806047e-13,1.166179e-15
5.642040e+03,3.745909e-13,1.155864e-15
5.646913e+03,3.737389e-13,1.146752e-15
5.651786e+03,3.729383e-13,1.142904e-15
5.656659e+03,3.711122e-13,1.287772e-15
5.661532e+03,3.709326e-13,1.249169e-15
5.666406e+03,3.723655e-13,1.136141e-15
5.671279e+03,3.708578e-13,1.130218e-15
5.676152e+03,3.725843e-13,1.136644e-15
5.681026e+03,3.719138e-13,1.133078e-15
5.685899e+03,3.736766e-13,1.130363e-15
5.690773e+03,3.728921e-13,1.131613e-15
5.695646e+03,3.693281e-13,1.122752e-15
5.700520e+03,3.694931e-13,1.118655e-15
5.705394e+03,3.680537e-13,1.118852e-15
5.710267e+03,3.643669e-13,1.147968e-15
5.715141e+03,3.606912e-13,1.215124e-15
5.720015e+03,3.585873e-13,1.096970e-15
5.724889e+03,3.511298e-13,1.082335e-15
5.729763e+03,3.479744e-13,1.081905e-15
5.734637e+03,3.391441e-13,1.065199e-15
5.739511e+03,3.370444e-13,1.057865e-15
5.744385e+03,3.358553e-13,1.055940e-15
5.749259e+03,3.267894e-13,1.147259e-15
5.754133e+03,3.224785e-13,1.029926e-15
5.759008e+03,3.193438e-13,1.022571e-15
5.763882e+03,3.163263e-13,1.016174e-15
5.768756e+03,3.134040e-13,1.009116e-15
5.773630e+03,3.121700e-13,1.006324e-15
5.778505e+03,3.077608e-13,1.094726e-15
5.783379e+03,3.103887e-13,1.002300e-15
5.788254e+03,3.041732e-13,9.837559e-16
5.793128e+03,3.085217e-13,9.959965e-16
5.798003e+03,3.033635e-13,1.112260e-15
5.802878e+03,3.096252e-13,9.926316e-16
5.807752e+03,3.132531e-13,9.970908e-16
5.812627e+03,3.163317e-13,1.000396e-15
5.817502e+03,3.166309e-13,9.991591e-16
5.822377e+03,3.216333e-13,1.009821e-15
5.827252e+03,3.228343e-13,1.006934e-15
5.832127e+03,3.209370e-13,1.197041e-15
5.837002e+03,3.216787e-13,1.103342e-15
5.841877e+03,3.226277e-13,1.001948e-15
5.846752e+03,3.274438e-13,1.011047e-15
5.851627e+03,3.227639e-13,1.004145e-15
5.856502e+03,3.272393e-13,1.007816e-15
5.861377e+03,3.268197e-13,1.005155e-15
5.866253e+03,3.262529e-13,1.003091e-15
5.871128e+03,3.282894e-13,1.006221e-15
5.876003e+03,3.291473e-13,1.005209e-15
5.880879e+03,3.327548e-13,1.020992e-15
5.885754e+03,3.320527e-13,1.014068e-15
5.890630e+03,3.328304e-13,1.016524e-15
5.895505e+03,3.323896e-13,1.018673e-15
5.900381e+03,3.335868e-13,1.114623e-15
5.905256e+03,3.355135e-13,1.122593e-15
5.910132e+03,3.374025e-13,1.020302e-15
5.915008e+03,3.388465e-13,1.022249e-15
5.919884e+03,3.388365e-13,1.024442e-15
5.924759e+03,3.390836e-13,1.025655e-15
5.929635e+03,3.390787e-13,1.026113e-15
5.934511e+03,3.355421e-13,1.019529e-15
5.939387e+03,3.387106e-13,1.028374e-15
5.944263e+03,3.354294e-13,1.062332e-15
5.949139e+03,3.374530e-13,1.026140e-15
5.954015e+03,3.379697e-13,1.023433e-15
5.958891e+03,3.351384e-13,1.019432e-15
5.963768e+03,3.343919e-13,1.018997e-15
5.968644e+03,3.332870e-13,1.019967e-15
5.973520e+03,3.340053e-13,1.017346e-15
5.978396e+03,3.324009e-13,1.017269e-15
5.983273e+03,3.321541e-13,1.015022e-15
5.988149e+03,3.338162e-13,1.018344e-15
5.993026e+03,3.326468e-13,1.017397e-15
5.997902e+03,3.309543e-13,1.015584e-15
6.002779e+03,3.237596e-13,9.991528e-16
6.007655e+03,3.236936e-13,9.982982e-16
6.012532e+03,3.228458e-13,9.988746e-16
6.017408e+03,3.191108e-13,9.906143e-16
6.022285e+03,3.164594e-13,1.052705e-15
6.027162e+03,3.131282e-13,9.765820e-16
6.032039e+03,3.073696e-13,9.638527e-16
6.036915e+03,3.026755e-13,1.090361e-15
6.041792e+03,3.012547e-13,9.965261e-16
6.046669e+03,2.926090e-13,9.364985e-16
6.051546e+03,2.844884e-13,9.260068e-16
6.056423e+03,2.735621e-13,9.054327e-16
6.061300e+03,2.608745e-13,8.814474e-16
6.066177e+03,2.465708e-13,8.525623e-16
6.071054e+03,2.320425e-13,8.376557e-16
6.075932e+03,2.174606e-13,7.996789e-16
6.080809e+03,2.053327e-13,7.824185e-16
6.085686e+03,1.905954e-13,7.448208e-16
6.090563e+03,1.789751e-13,7.196630e-16
6.095441e+03,1.641490e-13,6.867369e-16
6.100318e+03,1.518933e-13,6.590376e-16
6.105195e+03,1.468890e-13,6.486592e-16
6.110073e+03,1.375533e-13,6.265411e-16
6.114950e+03,1.305074e-13,6.119309e-16
6.119828e+03,1.237770e-13,5.932594e-16
6.124705e+03,1.175164e-13,5.770516e-16
6.129583e+03,1.129943e-13,5.643093e-16
6.134461e+03,1.115975e-13,5.594489e-16
6.139338e+03,1.106044e-13,5.572474e-16
6.144216e+03,1.101028e-13,5.564983e-16
6.149094e+03,1.102696e-13,5.561316e-16
6.153972e+03,1.140527e-13,5.659312e-16
6.158849e+03,1.167576e-13,5.729779e-16
6.163727e+03,1.191132e-13,5.790909e-16
6.168605e+03,1.222024e-13,5.846230e-16
6.173483e+03,1.296285e-13,6.025299e-16
6.178361e+03,1.353351e-13,6.155234e-16
6.183239e+03,1.424296e-13,6.312207e-16
6.188117e+03,1.509251e-13,6.489738e-16
6.192996e+03,1.571120e-13,6.606252e-16
6.197874e+03,1.669587e-13,6.811931e-16
6.202752e+03,1.800965e-13,7.092528e-16
6.207630e+03,1.898348e-13,7.268945e-16
6.212508e+03,1.964070e-13,7.397261e-16
6.217387e+03,2.043137e-13,7.573337e-16
6.222265e+03,2.157587e-13,7.780007e-16
6.227143e+03,2.225879e-13,7.898521e-16
6.232022e+03,2.291884e-13,8.340898e-16
6.236900e+03,2.366159e-13,8.163872e-16
6.241779e+03,2.423715e-13,8.251271e-16
6.246657e+03,2.483915e-13,8.394229e-16
6.251536e+03,2.536225e-13,8.433055e-16
6.256415e+03,2.601610e-13,8.844154e-16
6.261293e+03,2.667209e-13,9.516257e-16
6.266172e+03,2.707639e-13,9.590793e-16
6.271051e+03,2.776472e-13,8.827267e-16
6.275929e+03,2.797805e-13,8.860391e-16
6.280808e+03,2.847748e-13,8.927290e-16
6.285687e+03,2.881588e-13,8.984662e-16
6.290566e+03,2.911724e-13,9.027282e-16
6.295445e+03,2.934579e-13,9.040246e-16
6.300324e+03,2.960658e-13,9.075574e-16
6.305203e+03,2.985916e-13,9.131119e-16
6.310082e+03,2.984540e-13,9.080684e-16
6.314961e+03,2.998176e-13,9.117810e-16
6.319840e+03,2.995097e-13,9.095284e-16
6.324719e+03,2.964593e-13,9.913820e-16
6.329598e+03,2.974674e-13,9.029951e-16
6.334477e+03,2.996207e-13,9.071232e-16
6.339357e+03,2.973064e-13,9.014791e-16
6.344236e+03,2.961974e-13,8.986112e-16
6.349115e+03,2.959977e-13,9.018594e-16
6.353995e+03,2.931192e-13,8.929538e-16
6.358874e+03,2.923596e-13,9.793440e-16
6.363753e+03,2.894244e-13,9.714459e-16
6.368633e+03,2.853574e-13,9.634135e-16
6.373512e+03,2.840705e-13,9.607917e-16
6.378392e+03,2.842323e-13,8.741743e-16
6.383271e+03,2.822595e-13,8.677310e-16
6.388151e+03,2.838249e-13,9.605105e-16
6.393030e+03,2.810869e-13,9.791566e-16
6.397910e+03,2.821410e-13,8.668618e-16
6.402790e+03,2.813618e-13,8.611227e-16
6.407669e+03,2.794945e-13,8.592169e-16
6.412549e+03,2.806902e-13,8.594535e-16
6.417429e+03,2.790170e-13,8.563604e-16
6.422309e+03,2.768836e-13,8.531663e-16
6.427189e+03,2.758291e-13,8.543990e-16
6.432069e+03,2.738413e-13,8.497364e-16
6.436948e+03,2.705323e-13,8.451462e-16
6.441828e+03,2.657259e-13,8.352356e-16
6.446708e+03,2.647301e-13,8.336725e-16
6.451588e+03,2.637593e-13,8.301034e-16
6.456468e+03,2.621141e-13,8.276702e-16
6.461349e+03,2.598733e-13,8.237984e-16
6.466229e+03,2.579285e-13,8.203635e-16
6.471109e+03,2.573395e-13,8.204637e-16
6.475989e+03,2.543941e-13,8.163192e-16
6.480869e+03,2.534311e-13,8.144230e-16
6.485749e+03,2.505483e-13,8.100172e-16
6.490630e+03,2.497480e-13,8.086846e-16
6.495510e+03,2.462139e-13,8.020639e-16
6.500390e+03,2.445233e-13,7.975333e-16
6.505271e+03,2.440146e-13,7.975943e-16
6.510151e+03,2.414571e-13,7.953541e-16
6.515032e+03,2.394908e-13,7.904884e-16
6.519912e+03,2.397108e-13,7.928430e-16
6.524793e+03,2.373658e-13,7.864273e-16
6.529673e+03,2.360998e-13,7.871163e-16
6.534554e+03,2.360068e-13,7.894704e-16
6.539434e+03,2.375576e-13,7.902872e-16
6.544315e+03,2.302704e-13,7.788330e-16
6.549195e+03,2.314516e-13,7.822964e-16
6.554076e+03,2.269119e-13,7.730669e-16
6.558957e+03,2.276630e-13,7.742719e-16
6.563838e+03,2.232498e-13,7.667059e-16
6.568718e+03,2.206520e-13,7.619914e-16
6.573599e+03,2.206556e-13,7.661723e-16
6.578480e+03,2.185706e-13,7.604366e-16
6.583361e+03,2.181276e-13,7.585706e-16
6.588242e+03,2.148932e-13,7.529109e-16
6.593123e+03,2.129131e-13,7.492598e-16
6.598004e+03,2.129579e-13,7.506383e-16
6.602885e+03,2.083252e-13,7.928713e-16
6.607766e+03,2.078729e-13,7.404148e-16
6.612647e+03,2.064889e-13,7.398272e-16
6.617528e+03,2.033804e-13,7.345897e-16
6.622409e+03,2.027220e-13,7.329801e-16
6.627290e+03,2.019890e-13,7.343363e-16
6.632171e+03,1.984034e-13,7.281505e-16
6.637052e+03,1.991044e-13,7.285042e-16
6.641933e+03,1.979590e-13,7.226165e-16
6.646815e+03,1.954787e-13,7.176316e-16
6.651696e+03,1.955340e-13,7.194700e-16
6.656577e+03,1.927739e-13,7.628259e-16
6.661458e+03,1.935012e-13,7.162805e-16
6.666340e+03,1.876272e-13,8.167810e-16
6.671221e+03,1.877385e-13,7.363361e-16
6.676103e+03,1.903354e-13,7.119432e-16
6.680984e+03,1.849575e-13,6.985626e-16
6.685865e+03,1.862794e-13,7.006035e-16
6.690747e+03,1.845697e-13,6.972135e-16
6.695628e+03,1.820548e-13,6.916185e-16
6.700510e+03,1.815200e-13,6.886913e-16
6.705392e+03,1.787858e-13,7.142362e-16
6.710273e+03,1.770578e-13,6.812693e-16
6.715155e+03,1.782172e-13,6.856255e-16
6.720036e+03,1.753983e-13,6.806109e-16
6.724918e+03,1.727954e-13,6.765831e-16
6.729800e+03,1.704230e-13,6.671616e-16
6.734682e+03,1.702498e-13,6.687084e-16
6.739563e+03,1.681324e-13,6.657641e-16
6.744445e+03,1.651536e-13,6.589795e-16
6.749327e+03,1.649049e-13,6.567818e-16
6.754209e+03,1.632284e-13,6.539098e-16
6.759091e+03,1.639848e-13,6.561110e-16
6.763972e+03,1.638486e-13,6.527933e-16
6.768854e+03,1.612856e-13,6.495432e-16
6.773736e+03,1.589234e-13,6.422522e-16
6.778618e+03,1.566636e-13,6.392685e-16
6.783500e+03,1.547563e-13,6.335141e-16
6.788382e+03,1.560682e-13,6.368114e-16
6.793264e+03,1.534212e-13,6.315606e-16
6.798146e+03,1.552939e-13,6.354440e-16
6.803028e+03,1.557945e-13,6.367893e-16
6.807910e+03,1.525336e-13,6.289179e-16
6.812793e+03,1.521600e-13,6.312886e-16
6.817675e+03,1.510442e-13,6.273317e-16
6.822557e+03,1.518332e-13,6.304014e-16
6.827439e+03,1.510432e-13,6.269724e-16
6.832321e+03,1.505525e-13,6.261327e-16
6.837204e+03,1.514089e-13,6.290434e-16
6.842086e+03,1.507651e-13,6.261152e-16
6.846968e+03,1.490915e-13,6.238014e-16
6.851850e+03,1.458157e-13,6.169170e-16
6.856733e+03,1.474713e-13,6.210724e-16
6.861615e+03,1.465713e-13,6.173169e-16
6.866498e+03,1.464148e-13,6.153734e-16
6.871380e+03,1.454978e-13,6.150073e-16
6.876262e+03,1.449210e-13,6.117656e-16
6.881145e+03,1.447763e-13,6.122624e-16
6.886027e+03,1.429026e-13,6.087357e-16
6.890910e+03,1.420564e-13,6.070775e-16
6.895792e+03,1.424819e-13,6.111126e-16
6.900675e+03,1.408507e-13,6.071674e-16
6.905557e+03,1.389849e-13,6.008539e-16
6.910440e+03,1.407567e-13,6.492520e-16
6.915323e+03,1.402489e-13,6.077797e-16
6.920205e+03,1.408853e-13,6.077766e-16
6.925088e+03,1.402162e-13,6.048046e-16
6.929971e+03,1.381817e-13,6.071438e-16
6.934853e+03,1.393746e-13,6.016690e-16
6.939736e+03,1.396881e-13,6.032893e-16
6.944619e+03,1.394862e-13,6.031647e-16
6.949502e+03,1.387360e-13,6.017485e-16
6.954384e+03,1.393420e-13,6.060236e-16
6.959267e+03,1.387834e-13,6.018346e-16
6.964150e+03,1.395897e-13,6.028031e-16
6.969033e+03,1.388781e-13,6.023640e-16
6.973916e+03,1.379742e-13,5.998862e-16
6.978799e+03,1.370145e-13,5.961869e-16
6.983681e+03,1.362351e-13,5.959088e-16
6.988564e+03,1.374863e-13,6.005397e-16
6.993447e+03,1.346794e-13,5.918895e-16
6.998330e+03,1.347574e-13,5.915913e-16
7.003213e+03,1.343958e-13,5.901340e-16
7.008096e+03,1.354629e-13,5.934628e-16
7.012979e+03,1.333489e-13,5.892428e-16
7.017862e+03,1.343116e-13,5.911843e-16
7.022745e+03,1.323761e-13,5.865035e-16
7.027628e+03,1.341473e-13,5.899749e-16
7.032512e+03,1.328248e-13,5.857195e-16
7.037395e+03,1.347095e-13,5.909486e-16
7.042278e+03,1.346073e-13,5.913378e-16
7.047161e+03,1.353955e-13,5.931848e-16
7.052044e+03,1.346935e-13,5.926435e-16
7.056927e+03,1.333303e-13,5.866830e-16
7.061811e+03,1.329121e-13,5.872724e-16
7.066694e+03,1.323005e-13,5.851880e-16
7.071577e+03,1.328724e-13,5.865945e-16
7.076460e+03,1.318034e-13,5.842143e-16
7.081344e+03,1.347997e-13,5.983573e-16
7.086227e+03,1.327079e-13,5.861623e-16
7.091110e+03,1.341625e-13,5.906453e-16
7.095994e+03,1.327215e-13,5.876078e-16
7.100877e+03,1.316334e-13,5.843743e-16
7.105760e+03,1.307748e-13,5.820478e-16
7.110644e+03,1.301693e-13,5.813177e-16
7.115527e+03,1.309729e-13,5.830887e-16
7.120411e+03,1.320439e-13,5.849876e-16
7.125294e+03,1.337022e-13,5.920371e-16
7.130178e+03,1.315079e-13,5.850247e-16
7.135061e+03,1.308700e-13,5.846737e-16
7.139945e+03,1.320214e-13,5.870214e-16
7.144828e+03,1.283509e-13,5.790444e-16
7.149712e+03,1.292148e-13,5.835414e-16
7.154595e+03,1.267728e-13,5.776488e-16
7.159479e+03,1.283897e-13,5.893108e-16
7.164362e+03,1.287096e-13,5.846158e-16
7.169246e+03,1.298144e-13,6.065776e-16
