wavelength_angstrom,flux_erg_s_cm2_angstrom,error
5.257338e+03,3.197012e-14,1.559670e-15
5.262206e+03,2.569841e-14,1.609211e-16
5.267075e+03,2.728176e-14,1.564263e-16
5.271943e+03,2.940721e-14,1.476706e-16
5.276812e+03,3.185963e-14,1.486134e-16
5.281681e+03,3.387119e-14,1.455561e-16
5.286550e+03,3.547735e-14,1.517961e-16
5.291419e+03,3.735485e-14,1.487209e-16
5.296288e+03,3.875004e-14,1.332654e-16
5.301157e+03,3.914149e-14,1.367876e-16
5.306026e+03,4.029920e-14,1.395559e-16
5.310895e+03,4.070358e-14,1.335024e-16
5.315764e+03,4.086872e-14,1.374206e-16
5.320634e+03,4.073092e-14,1.375946e-16
5.325503e+03,4.109966e-14,1.347255e-16
5.330372e+03,4.043776e-14,1.718816e-16
5.335242e+03,4.006140e-14,1.749374e-16
5.340111e+03,3.838369e-14,1.789290e-16
5.344981e+03,3.961196e-14,1.549167e-16
5.349850e+03,3.931381e-14,1.766124e-16
5.354720e+03,3.974080e-14,1.444118e-16
5.359590e+03,3.893772e-14,1.471373e-16
5.364460e+03,3.842732e-14,1.324898e-16
5.369330e+03,3.827197e-14,1.441023e-16
5.374199e+03,3.731081e-14,1.491605e-16
5.379069e+03,3.694854e-14,1.444187e-16
5.383939e+03,3.679762e-14,1.493385e-16
5.388810e+03,3.602283e-14,1.525657e-16
5.393680e+03,3.610234e-14,1.283960e-16
5.398550e+03,3.505295e-14,1.479785e-16
5.403420e+03,3.479453e-14,1.454080e-16
5.408290e+03,3.415552e-14,1.396880e-16
5.413161e+03,3.376436e-14,1.192367e-16
5.418031e+03,3.337856e-14,1.169810e-16
5.422902e+03,3.303241e-14,1.234952e-16
5.427772e+03,3.288355e-14,1.231977e-16
5.432643e+03,3.276348e-14,1.192518e-16
5.437514e+03,3.284736e-14,1.257137e-16
5.442384e+03,3.314108e-14,1.166740e-16
5.447255e+03,3.367746e-14,1.185267e-16
5.452126e+03,3.407963e-14,1.241840e-16
5.456997e+03,3.448545e-14,1.274340e-16
5.461868e+03,3.470273e-14,1.233657e-16
5.466739e+03,3.501295e-14,1.170091e-16
5.471610e+03,3.555273e-14,1.197553e-16
5.476481e+03,3.562951e-14,1.579803e-16
5.481352e+03,3.492411e-14,1.745336e-16
5.486223e+03,3.580579e-14,1.301503e-16
5.491095e+03,3.598117e-14,1.177680e-16
5.495966e+03,3.591862e-14,1.333980e-16
5.500837e+03,3.608317e-14,1.267550e-16
5.505709e+03,3.587557e-14,1.184064e-16
5.510580e+03,3.606845e-14,1.172954e-16
5.515452e+03,3.546765e-14,1.270685e-16
5.520323e+03,3.628591e-14,1.248428e-16
5.525195e+03,3.578200e-14,1.498394e-16
5.530067e+03,3.670000e-14,1.279583e-16
5.534938e+03,3.647704e-14,1.195700e-16
5.539810e+03,3.678279e-14,1.229929e-16
5.544682e+03,3.752349e-14,1.203075e-16
5.549554e+03,3.704847e-14,1.288913e-16
5.554426e+03,3.747122e-14,1.276418e-16
5.559298e+03,3.717300e-14,1.208629e-16
5.564170e+03,3.701119e-14,1.207893e-16
5.569042e+03,3.677464e-14,1.191142e-16
5.573914e+03,3.671380e-14,1.477456e-16
5.578787e+03,3.673050e-14,1.189624e-16
5.583659e+03,3.693353e-14,1.270435e-16
5.588531e+03,3.693155e-14,1.156652e-16
5.593404e+03,3.606393e-14,1.252673e-16
5.598276e+03,3.683135e-14,1.202966e-16
5.603149e+03,3.686768e-14,1.150668e-16
5.608021e+03,3.658199e-14,1.148699e-16
5.612894e+03,3.621021e-14,1.223384e-16
5.617766e+03,3.593177e-14,1.217288e-16
5.622639e+03,3.584675e-14,1.524645e-16
5.627512e+03,3.589103e-14,1.132266e-16
5.632385e+03,3.560351e-14,1.040277e-16
