wavelength_angstrom,flux_erg_s_cm2_angstrom,error
2.889407e+03,1.987321e-13,4.245520e-14
2.892151e+03,3.866196e-13,3.466934e-14
2.894896e+03,2.387239e-13,2.973126e-14
2.897641e+03,3.193240e-13,2.783071e-14
2.900386e+03,3.415787e-13,2.575568e-14
2.903131e+03,3.386291e-13,2.392881e-14
2.905876e+03,3.879394e-13,2.301266e-14
2.908621e+03,4.222136e-13,2.197912e-14
2.911366e+03,4.133508e-13,2.043537e-14
2.914110e+03,4.111429e-13,1.878550e-14
2.916855e+03,4.021318e-13,1.757458e-14
2.919600e+03,3.972420e-13,1.624558e-14
2.922345e+03,3.895475e-13,1.514289e-14
2.925091e+03,3.789361e-13,1.375830e-14
2.927836e+03,3.925824e-13,1.304712e-14
2.930581e+03,4.135237e-13,1.262351e-14
2.933326e+03,4.489471e-13,1.189077e-14
2.936071e+03,6.660285e-13,1.666458e-14
2.938816e+03,4.445507e-13,1.014935e-14
2.941561e+03,4.478898e-13,9.511734e-15
2.944306e+03,4.358124e-13,8.834887e-15
2.947052e+03,4.678014e-13,8.723653e-15
2.949797e+03,4.673448e-13,8.134367e-15
2.952542e+03,4.931210e-13,7.894090e-15
2.955287e+03,5.027717e-13,7.613078e-15
2.958033e+03,5.253919e-13,7.440593e-15
2.960778e+03,5.254864e-13,7.136466e-15
2.963523e+03,5.354283e-13,6.929428e-15
2.966269e+03,5.701453e-13,6.913539e-15
2.969014e+03,5.745402e-13,6.760873e-15
2.971760e+03,5.721780e-13,6.597937e-15
2.974505e+03,5.750296e-13,6.526723e-15
2.977250e+03,5.660919e-13,6.293894e-15
2.979996e+03,5.850671e-13,6.823966e-15
2.982741e+03,5.693975e-13,6.176443e-15
2.985487e+03,5.654146e-13,6.293692e-15
2.988232e+03,5.387980e-13,5.903679e-15
2.990978e+03,5.312417e-13,5.814899e-15
2.993724e+03,5.129338e-13,5.677746e-15
2.996469e+03,4.950240e-13,5.543263e-15
2.999215e+03,4.715793e-13,5.395241e-15
3.001960e+03,4.750842e-13,5.374633e-15
3.004706e+03,4.406492e-13,5.145115e-15
3.007452e+03,4.557609e-13,5.514580e-15
3.010197e+03,4.450147e-13,5.105294e-15
3.012943e+03,4.370478e-13,5.012826e-15
3.015689e+03,4.361443e-13,4.961443e-15
3.018435e+03,4.361807e-13,4.923025e-15
3.021180e+03,4.363710e-13,4.883387e-15
3.023926e+03,4.367982e-13,4.843080e-15
3.026672e+03,4.467439e-13,4.851731e-15
3.029418e+03,4.384350e-13,4.738200e-15
3.032164e+03,4.532576e-13,4.821305e-15
3.034909e+03,4.537641e-13,4.712667e-15
3.037655e+03,4.649671e-13,4.741860e-15
3.040401e+03,4.759310e-13,4.743904e-15
3.043147e+03,4.632545e-13,4.643677e-15
3.045893e+03,4.736532e-13,4.652429e-15
3.048639e+03,4.742194e-13,4.609524e-15
3.051385e+03,4.763291e-13,4.580098e-15
3.054131e+03,4.770790e-13,4.538699e-15
3.056877e+03,4.726332e-13,4.494822e-15
3.059623e+03,4.544365e-13,4.379834e-15
3.062369e+03,4.634768e-13,4.390015e-15
3.065115e+03,4.682108e-13,4.367842e-15
3.067861e+03,4.610771e-13,4.410564e-15
3.070607e+03,4.672164e-13,4.310052e-15
3.073354e+03,4.536855e-13,4.214405e-15
3.076100e+03,4.524806e-13,4.181002e-15
3.078846e+03,4.585206e-13,4.190165e-15
3.081592e+03,4.494848e-13,4.112544e-15
3.084338e+03,4.505457e-13,4.101114e-15
3.087084e+03,4.521212e-13,4.150119e-15
3.089831e+03,4.474447e-13,4.070392e-15
3.092577e+03,4.562395e-13,4.061369e-15
