intentType,obs_collection,provenance_name,instrument_name,project,filters,wave_region,target_name,target_classification,obs_id,s_ra,s_dec,dataproduct_type,proposal_pi,calib_level,t_min,t_max,t_exptime,wavelength_region,em_min,em_max,obs_title,t_obs_release,proposal_id,proposal_type,sequence_number,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,obsid,objID,wave_min,wave_max,objID1,distance
science,HST,CALSTIS,STIS/CCD,HST,MIRVIS,OPTICAL,PTF11KLY,EXT-STAR;SUPERNOVA TYPE IA,obnd51drq,210.7742208333,54.27371111111,image,"Ellis, Richard S.",1,55823.57741605324,55823.58013796296,30.1,OPTICAL,nan,nan,Towards a Physical Understanding of the Diversity of Type Ia Supernovae,56189.6567824,12298,GO,,POLYGON 210.7754604927362 54.272995714973526 210.77304561557747 54.27299709865549 210.77304798590123 54.274407568648265 210.77546286305997 54.274406184966296 210.7754604927362 54.272995714973526,,mast:HST/product/obnd51drq_raw.fits,PUBLIC,False,nan,24524787,899362207,nan,nan,899362207,0.0
science,HST,CALSTIS,STIS/CCD,HST,G230LB,UV,PTF11KLY,EXT-STAR;SUPERNOVA TYPE IA,obnd45010,210.7742208333,54.27371111111,spectrum,"Ellis, Richard S.",3,55807.41668642361,55807.43349216435,1320.0,UV,168.0,306.0,Towards a Physical Understanding of the Diversity of Type Ia Supernovae,56173.47458337,12298,GO,,POLYGON 210.76952665385085 54.26125035315881 210.76943231316923 54.26126257011583 210.7748117948058 54.27542617511663 210.7749061354874 54.275413958159604 210.76952665385085 54.26125035315881,mast:HST/product/obnd45010_sx1.png,mast:HST/product/obnd45010_sx1.fits,PUBLIC,False,nan,24963062,1004077043,168.0,306.0,1004077043,0.0
science,HST,CALSTIS,STIS/CCD,HST,G750L,OPTICAL,PTF11KLY,EXT-STAR;SUPERNOVA TYPE IA,obnd46060,210.7741946602,54.27361509759,spectrum,"Ellis, Richard S.",3,55811.43599197917,55811.437427164354,80.0,OPTICAL,524.0,1027.0,Towards a Physical Understanding of the Diversity of Type Ia Supernovae,56177.56493042,12298,GO,,POLYGON 210.77226320723247 54.26635031006585 210.7721677905091 54.266359178508836 210.7760734666181 54.280686756568485 210.77616888334148 54.2806778881255 210.77226320723247 54.26635031006585,mast:HST/product/obnd46060_sx1.png,mast:HST/product/obnd46060_sx1.fits,PUBLIC,False,nan,24963071,1004302869,524.0,1027.0,1004302869,0.0
science,HST,CALSTIS,STIS/CCD,HST,MIRVIS,OPTICAL,PTF11KLY,EXT-STAR;SUPERNOVA TYPE IA,obnd49slq,210.7742208333,54.27371111111,image,"Ellis, Richard S.",1,55804.28430274306,55804.287024618054,30.1,OPTICAL,nan,nan,Towards a Physical Understanding of the Diversity of Type Ia Supernovae,56170.39866897,12298,GO,,POLYGON 210.77504198660972 54.272813416768344 210.77273616955503 54.27323238423865 210.77345388758476 54.27457916161524 210.77575970463948 54.27416019414493 210.77504198660972 54.272813416768344,,mast:HST/product/obnd49slq_raw.fits,PUBLIC,False,nan,24524785,899359207,nan,nan,899359207,0.0
science,HST,CALSTIS,STIS/CCD,HST,G430L,OPTICAL,PTF11KLY,EXT-STAR;SUPERNOVA TYPE IA,obnd47040,210.7742043085,54.2736143689,spectrum,"Ellis, Richard S.",3,55814.429938657406,55814.43137384259,80.0,OPTICAL,290.0,570.0,Towards a Physical Understanding of the Diversity of Type Ia Supernovae,56180.62826381,12298,GO,,POLYGON 210.77207318271712 54.26091653346676 210.77197702714136 54.26092213351921 210.77444288738127 54.275358247051656 210.77453904295703 54.27535264699921 210.77207318271712 54.26091653346676,mast:HST/product/obnd47040_sx1.png,mast:HST/product/obnd47040_sx1.fits,PUBLIC,False,nan,24963076,1004218544,290.0,570.0,1004218544,0.0
science,HST,CALSTIS,STIS/NUV-MAMA,HST,G230L,UV,PTF11KLY,EXT-STAR;SUPERNOVA TYPE IA,obnd49010,210.7742208333,54.27371111111,spectrum,"Ellis, Richard S.",3,55804.290124224535,55804.31717271991,2200.0,UV,157.0,318.0,Towards a Physical Understanding of the Diversity of Type Ia Supernovae,56170.47442134,12298,GO,,POLYGON 210.77254115651834 54.270381553469214 210.7724487006761 54.27039793413987 210.77595641426703 54.277148251940744 210.77604887010924 54.277131871270086 210.77254115651834 54.270381553469214,,mast:HST/product/obnd49010_sx2.fits,PUBLIC,False,nan,24963081,1004252959,157.0,318.0,1004252959,0.0
science,HST,CALSTIS,STIS/CCD,HST,G430L,OPTICAL,PTF11KLY,EXT-STAR;SUPERNOVA TYPE IA,obnd50030,210.7753967434,54.27978353135,spectrum,"Ellis, Richard S.",3,55817.67837642361,55817.679811608796,80.0,OPTICAL,290.0,570.0,Towards a Physical Understanding of the Diversity of Type Ia Supernovae,56184.05246524,12298,GO,,POLYGON 210.77402989918014 54.272475161182754 210.773933878692 54.272481500068714 210.7767259518777 54.28689758001072 210.77682197236584 54.286891241124756 210.77402989918014 54.272475161182754,mast:HST/product/obnd50030_sx1.png,mast:HST/product/obnd50030_sx1.fits,PUBLIC,False,nan,24963084,1004751603,290.0,570.0,1004751603,0.0
science,HST,CALSTIS,STIS/FUV-MAMA,HST,G140L,UV,PTF11KLY,EXT-STAR;SUPERNOVA TYPE IA,obnd50090,210.7742208333,54.27371111111,spectrum,"Ellis, Richard S.",3,55817.78798310185,55817.82189513889,2930.0,UV,115.0,173.0,Towards a Physical Understanding of the Diversity of Type Ia Supernovae,56184.05688657,12298,GO,,POLYGON 210.77379180833202 54.27124422198499 210.7736958018174 54.27125055996436 210.77504205789845 54.27820360391081 210.77513806441303 54.27819726593145 210.77379180833202 54.27124422198499,,,PUBLIC,False,nan,24963090,1004768412,115.0,173.0,1004768412,0.0
science,HST,CALSTIS,STIS/NUV-MAMA,HST,G230L,UV,PTF11KLY,EXT-STAR;SUPERNOVA TYPE IA,obnd51080,210.7742208333,54.27371111111,spectrum,"Ellis, Richard S.",3,55823.644209756945,55823.67727681713,2720.0,UV,157.0,318.0,Towards a Physical Understanding of the Diversity of Type Ia Supernovae,56189.75276617,12298,GO,,POLYGON 210.77430570712335 54.270212899601695 210.77420909077313 54.27021255528833 210.77413536041752 54.27726663703248 210.77423197676774 54.277266981345846 210.77430570712335 54.270212899601695,,mast:HST/product/obnd51080_sx2.fits,PUBLIC,False,nan,24963099,1004768431,157.0,318.0,1004768431,0.0
science,HST,CALSTIS,STIS/CCD,HST,G230LB,UV,PTF11KLY,EXT-STAR;SUPERNOVA TYPE IA,obnd46010,210.7742208333,54.27371111111,spectrum,"Ellis, Richard S.",3,55811.40836458333,55811.41500836806,530.0,UV,168.0,306.0,Towards a Physical Understanding of the Diversity of Type Ia Supernovae,56177.56427074,12298,GO,,POLYGON 210.77082321164806 54.26110763473132 210.7707277801577 54.26111650459841 210.77463344071367 54.27544387547484 210.77472887220407 54.27543500560774 210.77082321164806 54.26110763473132,mast:HST/product/obnd46010_sx1.png,mast:HST/product/obnd46010_sx1.fits,PUBLIC,False,nan,24963066,1004829549,168.0,306.0,1004829549,0.0
science,HST,CALSTIS,STIS/CCD,HST,MIRVIS,OPTICAL,PTF11KLY,EXT-STAR;SUPERNOVA TYPE IA,obnd44rwq,210.7742208333,54.27371111111,image,"Ellis, Richard S.",1,55804.21775200232,55804.22047353009,30.1,OPTICAL,nan,nan,Towards a Physical Understanding of the Diversity of Type Ia Supernovae,56170.39809021,12298,GO,,POLYGON 210.77504004436506 54.27281281168209 210.77273513506162 54.27323347928322 210.77345576567427 54.274579726742765 210.77576067497768 54.274159059141624 210.77504004436506 54.27281281168209,,mast:HST/product/obnd44rwq_raw.fits,PUBLIC,False,nan,24524780,899359070,nan,nan,899359070,0.0
science,HST,CALSTIS,STIS/CCD,HST,MIRVIS,OPTICAL,PTF11KLY,EXT-STAR;SUPERNOVA TYPE IA,obnd47g5q,210.7742208333,54.27371111111,image,"Ellis, Richard S.",1,55814.40576126157,55814.40825127315,20.1,OPTICAL,nan,nan,Towards a Physical Understanding of the Diversity of Type Ia Supernovae,56180.48383108,12298,GO,,POLYGON 210.7753245697951 54.27292345758305 210.77292336045124 54.273073343369454 210.77318012167913 54.27447582257701 210.77558133102295 54.2743259367906 210.7753245697951 54.27292345758305,,mast:HST/product/obnd47g5q_raw.fits,PUBLIC,False,nan,24524783,899359191,nan,nan,899359191,0.0
science,HST,CALSTIS,STIS/CCD,HST,MIRVIS,OPTICAL,PTF11KLY,EXT-STAR;SUPERNOVA TYPE IA,obnd48msq,210.7742208333,54.27371111111,image,"Ellis, Richard S.",1,55801.1620690162,55801.16414278935,2.1,OPTICAL,nan,nan,Towards a Physical Understanding of the Diversity of Type Ia Supernovae,56167.36407408,12298,GO,,POLYGON 210.77495004701535 54.272786742949656 210.77269047207017 54.273284257149655 210.77354274417294 54.274604023212056 210.77580231911816 54.27410650901206 210.77495004701535 54.272786742949656,,mast:HST/product/obnd48msq_raw.fits,PUBLIC,False,nan,24524784,899359205,nan,nan,899359205,0.0
science,HST,CALSTIS,STIS/CCD,HST,G750L,OPTICAL,PTF11KLY,EXT-STAR;SUPERNOVA TYPE IA,obnd46050,210.7742208333,54.27371111111,spectrum,"Ellis, Richard S.",3,55811.433746793984,55811.43518197917,80.0,OPTICAL,524.0,1027.0,Towards a Physical Understanding of the Diversity of Type Ia Supernovae,56177.56486097,12298,GO,,POLYGON 210.77228937583257 54.26644632358585 210.77219395888687 54.266455192028836 210.77609964409532 54.280782770088486 210.77619506104102 54.2807739016455 210.77228937583257 54.26644632358585,mast:HST/product/obnd46050_sx1.png,mast:HST/product/obnd46050_sx1.fits,PUBLIC,False,nan,24963070,1004229756,524.0,1027.0,1004229756,0.0
science,HST,CALSTIS,STIS/CCD,HST,G430L,OPTICAL,PTF11KLY,EXT-STAR;SUPERNOVA TYPE IA,obnd44020,210.7741722883,54.27361811294,spectrum,"Ellis, Richard S.",3,55804.23094568287,55804.238144675925,578.0,OPTICAL,290.0,570.0,Towards a Physical Understanding of the Diversity of Type Ia Supernovae,56170.39855317,12298,GO,,POLYGON 210.7678376525774 54.261407389554854 210.76774521833326 54.261423840890494 210.77498920372918 54.275301258930256 210.77508163797333 54.275284807594616 210.7678376525774 54.261407389554854,mast:HST/product/obnd44020_sx1.png,mast:HST/product/obnd44020_sx1.fits,PUBLIC,False,nan,24963058,1004286356,290.0,570.0,1004286356,0.0
science,HST,CALSTIS,STIS/CCD,HST,G750L,OPTICAL,PTF11KLY,EXT-STAR;SUPERNOVA TYPE IA,obnd43020,210.7742208333,54.27371111111,spectrum,"Ellis, Richard S.",3,55801.11054050926,55801.12315625,1002.0,OPTICAL,524.0,1027.0,Towards a Physical Understanding of the Diversity of Type Ia Supernovae,56167.22436347,12298,GO,,POLYGON 210.76989061759227 54.26680778526873 210.76980002160388 54.26682739150436 210.77843465844623 54.28043106625806 210.77852525443458 54.280411460022435 210.76989061759227 54.26680778526873,mast:HST/product/obnd43020_sx1.png,mast:HST/product/obnd43020_sx1.fits,PUBLIC,False,nan,24963055,1004296374,524.0,1027.0,1004296374,0.0
science,HST,CALSTIS,STIS/CCD,HST,G430L,OPTICAL,PTF11KLY,EXT-STAR;SUPERNOVA TYPE IA,obnd51040,210.7742218495,54.2736138907,spectrum,"Ellis, Richard S.",3,55823.60113086805,55823.60256605324,80.0,OPTICAL,290.0,570.0,Towards a Physical Understanding of the Diversity of Type Ia Supernovae,56189.65712958,12298,GO,,POLYGON 210.77439281729187 54.26085561568421 210.7742961864223 54.26085527135237 210.7741445674534 54.27536274228408 210.77424119832295 54.27536308661592 210.77439281729187 54.26085561568421,mast:HST/product/obnd51040_sx1.png,mast:HST/product/obnd51040_sx1.fits,PUBLIC,False,nan,24963095,1004316132,290.0,570.0,1004316132,0.0
science,HST,CALSTIS,STIS/CCD,HST,G430L,OPTICAL,PTF11KLY,EXT-STAR;SUPERNOVA TYPE IA,obnd50040,210.775378033,54.27968692476,spectrum,"Ellis, Richard S.",3,55817.68062160879,55817.68205679398,80.0,OPTICAL,290.0,570.0,Towards a Physical Understanding of the Diversity of Type Ia Supernovae,56184.05252311,12298,GO,,POLYGON 210.77401119208918 54.27237855458612 210.77391517182608 54.27238489347161 210.7767072382597 54.28680097342718 210.7768032585228 54.28679463454168 210.77401119208918 54.27237855458612,mast:HST/product/obnd50040_sx1.png,mast:HST/product/obnd50040_sx1.fits,PUBLIC,False,nan,24963085,1004713697,290.0,570.0,1004713697,0.0
science,HST,CALSTIS,STIS/CCD,HST,G430L,OPTICAL,PTF11KLY,EXT-STAR;SUPERNOVA TYPE IA,obnd44010,210.7742208333,54.27371111111,spectrum,"Ellis, Richard S.",3,55804.22293642361,55804.23013541667,578.0,OPTICAL,290.0,570.0,Towards a Physical Understanding of the Diversity of Type Ia Supernovae,56170.3984953,12298,GO,,POLYGON 210.76788618258635 54.26150038784799 210.76779374813455 54.26151683918543 210.77503775066862 54.27539425708438 210.77513018512042 54.27537780574694 210.76788618258635 54.26150038784799,mast:HST/product/obnd44010_sx1.png,mast:HST/product/obnd44010_sx1.fits,PUBLIC,False,nan,24963057,1004713707,290.0,570.0,1004713707,0.0
science,HST,CALSTIS,STIS/CCD,HST,G750L,OPTICAL,PTF11KLY,EXT-STAR;SUPERNOVA TYPE IA,obnd44040,210.7741722883,54.27361811294,spectrum,"Ellis, Richard S.",3,55804.24709163194,55804.25234614583,410.0,OPTICAL,524.0,1027.0,Towards a Physical Understanding of the Diversity of Type Ia Supernovae,56170.39872684,12298,GO,,POLYGON 210.77054762747676 54.266577549488964 210.7704552073466 54.266593998328325 210.77769930236607 54.280471613123844 210.77779172249623 54.28045516428448 210.77054762747676 54.266577549488964,mast:HST/product/obnd44040_sx1.png,mast:HST/product/obnd44040_sx1.fits,PUBLIC,False,nan,24963060,1004748490,524.0,1027.0,1004748490,0.0
science,HST,CALSTIS,STIS/CCD,HST,G230LB,UV,PTF11KLY,EXT-STAR;SUPERNOVA TYPE IA,obnd51010,210.7742208333,54.27371111111,spectrum,"Ellis, Richard S.",3,55823.582600891204,55823.58889699074,500.0,UV,168.0,306.0,Towards a Physical Understanding of the Diversity of Type Ia Supernovae,56189.65684027,12298,GO,,POLYGON 210.77439180133183 54.260952836093466 210.7742951702343 54.260952491762055 210.77414355109346 54.27545996269442 210.774240182191 54.27546030702584 210.77439180133183 54.260952836093466,mast:HST/product/obnd51010_sx1.png,mast:HST/product/obnd51010_sx1.fits,PUBLIC,False,nan,24963092,1004748495,168.0,306.0,1004748495,0.0
science,HST,CALSTIS,STIS/CCD,HST,G750L,OPTICAL,PTF11KLY,EXT-STAR;SUPERNOVA TYPE IA,obnd50050,210.7753967434,54.27978353135,spectrum,"Ellis, Richard S.",3,55817.686987534726,55817.68830671296,70.0,OPTICAL,524.0,1027.0,Towards a Physical Understanding of the Diversity of Type Ia Supernovae,56184.05398145,12298,GO,,POLYGON 210.77402989918014 54.272475161182754 210.773933878692 54.272481500068714 210.7767259518777 54.28689758001072 210.77682197236584 54.286891241124756 210.77402989918014 54.272475161182754,mast:HST/product/obnd50050_sx1.png,mast:HST/product/obnd50050_sx1.fits,PUBLIC,False,nan,24963086,1004778330,524.0,1027.0,1004778330,0.0
