wavelength_angstrom,flux_erg_s_cm2_angstrom,error
5.257459e+03,2.821486e-13,1.419532e-14
5.262327e+03,2.149986e-13,1.637989e-15
5.267196e+03,2.182555e-13,1.623977e-15
5.272065e+03,2.334533e-13,1.465225e-15
5.276934e+03,2.467203e-13,1.414364e-15
5.281803e+03,2.592203e-13,1.373185e-15
5.286671e+03,2.733920e-13,1.341056e-15
5.291540e+03,2.813745e-13,1.303954e-15
5.296409e+03,2.868712e-13,1.426172e-15
5.301279e+03,2.862040e-13,1.372845e-15
5.306148e+03,2.958933e-13,1.368092e-15
5.311017e+03,2.988872e-13,1.349056e-15
5.315886e+03,3.052628e-13,1.358661e-15
5.320755e+03,2.994429e-13,1.469678e-15
5.325625e+03,3.044976e-13,1.426600e-15
5.330494e+03,3.101818e-13,1.418393e-15
5.335364e+03,3.136870e-13,1.394319e-15
5.340233e+03,3.179635e-13,1.265955e-15
5.345103e+03,3.237028e-13,1.480537e-15
5.349973e+03,3.285197e-13,1.479362e-15
5.354842e+03,3.356418e-13,1.391661e-15
5.359712e+03,3.325347e-13,1.512310e-15
5.364582e+03,3.338601e-13,1.523688e-15
5.369452e+03,3.473243e-13,1.400553e-15
5.374322e+03,3.464656e-13,1.399913e-15
5.379192e+03,3.441288e-13,1.564324e-15
5.384062e+03,3.446301e-13,1.558442e-15
5.388932e+03,3.405829e-13,1.544689e-15
5.393802e+03,3.433113e-13,1.383525e-15
5.398673e+03,3.388017e-13,1.365431e-15
5.403543e+03,3.373620e-13,1.354811e-15
5.408413e+03,3.307800e-13,1.325270e-15
5.413284e+03,3.252966e-13,1.456894e-15
5.418154e+03,3.183590e-13,1.422868e-15
5.423025e+03,3.130517e-13,1.396267e-15
5.427895e+03,3.059474e-13,1.361968e-15
5.432766e+03,2.979423e-13,1.235589e-15
5.437637e+03,2.933459e-13,1.173651e-15
5.442507e+03,2.825114e-13,1.137706e-15
5.447378e+03,2.770000e-13,1.116628e-15
5.452249e+03,2.703754e-13,1.090007e-15
5.457120e+03,2.648844e-13,1.067575e-15
5.461991e+03,2.612791e-13,1.052178e-15
5.466862e+03,2.602215e-13,1.162945e-15
5.471733e+03,2.608798e-13,1.153008e-15
5.476604e+03,2.644482e-13,1.153270e-15
5.481476e+03,2.643742e-13,1.025924e-15
5.486347e+03,2.717000e-13,1.154428e-15
5.491218e+03,2.745034e-13,1.191770e-15
5.496090e+03,2.853134e-13,1.174516e-15
5.500961e+03,2.959489e-13,1.227059e-15
5.505832e+03,3.059280e-13,1.246619e-15
5.510704e+03,3.147090e-13,1.266465e-15
5.515576e+03,3.229989e-13,1.280872e-15
5.520447e+03,3.385781e-13,1.276351e-15
5.525319e+03,3.431577e-13,1.276526e-15
5.530191e+03,3.497885e-13,1.287174e-15
5.535062e+03,3.570036e-13,1.301404e-15
5.539934e+03,3.646140e-13,1.351954e-15
5.544806e+03,3.757336e-13,1.335004e-15
5.549678e+03,3.750172e-13,1.331734e-15
