wavelength_angstrom,flux_erg_s_cm2_angstrom,error
5.256391e+03,3.469582e-13,1.712890e-14
5.261260e+03,2.671482e-13,1.991095e-15
5.266128e+03,2.736909e-13,1.850159e-15
5.270997e+03,2.866422e-13,1.757256e-15
5.275866e+03,2.917197e-13,1.663456e-15
5.280735e+03,3.038788e-13,1.609546e-15
5.285604e+03,3.128053e-13,1.590565e-15
5.290473e+03,3.175025e-13,1.489537e-15
5.295342e+03,3.178283e-13,1.430781e-15
5.300211e+03,3.105501e-13,1.361998e-15
5.305081e+03,3.141165e-13,1.341022e-15
5.309950e+03,3.120022e-13,1.310009e-15
5.314819e+03,3.168958e-13,1.315364e-15
5.319689e+03,3.165681e-13,1.308284e-15
5.324558e+03,3.248877e-13,1.327850e-15
5.329428e+03,3.283035e-13,1.344657e-15
5.334297e+03,3.352132e-13,1.373935e-15
5.339167e+03,3.298823e-13,1.373966e-15
5.344037e+03,3.314368e-13,1.395970e-15
5.348906e+03,3.274060e-13,1.398945e-15
5.353776e+03,3.249178e-13,1.410520e-15
5.358646e+03,3.284701e-13,1.433707e-15
5.363516e+03,3.226494e-13,1.425993e-15
5.368386e+03,3.256839e-13,1.455719e-15
5.373256e+03,3.256047e-13,1.502666e-15
5.378126e+03,3.290584e-13,1.457312e-15
5.382996e+03,3.294912e-13,1.460235e-15
5.387867e+03,3.253706e-13,1.450369e-15
5.392737e+03,3.313277e-13,1.459411e-15
5.397607e+03,3.287537e-13,1.443599e-15
5.402478e+03,3.257850e-13,1.426598e-15
5.407348e+03,3.200560e-13,1.398414e-15
5.412219e+03,3.219699e-13,1.389742e-15
5.417089e+03,3.180337e-13,1.366647e-15
5.421960e+03,3.192825e-13,1.355894e-15
5.426831e+03,3.224205e-13,1.348051e-15
5.431701e+03,3.149906e-13,1.315546e-15
5.436572e+03,3.084730e-13,1.286728e-15
5.441443e+03,2.981424e-13,1.427143e-15
5.446314e+03,2.926208e-13,1.227635e-15
5.451185e+03,2.859671e-13,1.206557e-15
5.456056e+03,2.809776e-13,1.177470e-15
5.460927e+03,2.749689e-13,1.153940e-15
5.465798e+03,2.637740e-13,1.117634e-15
5.470669e+03,2.608909e-13,1.104535e-15
5.475541e+03,2.515668e-13,1.076047e-15
5.480412e+03,2.421957e-13,1.051021e-15
5.485283e+03,2.352274e-13,1.029340e-15
5.490155e+03,2.330061e-13,1.015478e-15
5.495026e+03,2.303704e-13,1.012568e-15
5.499898e+03,2.363478e-13,1.019868e-15
5.504769e+03,2.375197e-13,1.021953e-15
5.509641e+03,2.439578e-13,1.035016e-15
5.514513e+03,2.546270e-13,1.057170e-15
5.519384e+03,2.650834e-13,1.077009e-15
5.524256e+03,2.750335e-13,1.093815e-15
5.529128e+03,2.805196e-13,1.104231e-15
5.534000e+03,2.821204e-13,1.104885e-15
5.538872e+03,2.877928e-13,1.114314e-15
5.543744e+03,2.937547e-13,1.130266e-15
5.548616e+03,2.981981e-13,1.136474e-15
5.553488e+03,3.003118e-13,1.142098e-15
5.558360e+03,2.958449e-13,1.169020e-15
5.563232e+03,2.992813e-13,1.210086e-15
5.568105e+03,3.026302e-13,1.366247e-15
5.572977e+03,3.013236e-13,1.139675e-15
5.577849e+03,3.011259e-13,1.140508e-15
5.582722e+03,3.027887e-13,1.135177e-15
5.587594e+03,2.952558e-13,1.118276e-15
5.592467e+03,2.939185e-13,1.114983e-15
5.597339e+03,2.949015e-13,1.113744e-15
5.602212e+03,2.939099e-13,1.109338e-15
