ion,n_lines,v_form_kms,sigma_v_kms,log10_n_ion,n_ion_per_cm3,rho_at_v_g_cm3,X_ion_est,X_W7strat6,ratio_emp_over_W7
FeII,5,8056.0,1500.0,3.0,1000.0,1.835619842835886e-12,5.065754783754188e-08,0.03,1.6885849279180627e-06
SiII,4,9611.0,2159.0,4.33,21601.090662664366,4.498799930180558e-13,2.232420033912486e-06,0.3830882,5.827430951703775e-06
MgII,1,11629.0,3280.0,3.84,6990.229613088438,9.861150087996731e-14,2.8249710029247936e-06,0.004442054,0.0006359605270275403
FeIII,2,11885.0,4322.0,3.0,1000.0,8.294255759208652e-14,1.1211132463182196e-06,0.03,3.7370441543940655e-05
CaII,5,12748.0,1500.0,3.0,1000.0,4.7466085752986815e-14,1.399314878114223e-06,0.023593668760217942,5.9308914282701714e-05
OI,1,15012.0,6000.0,4.52,32907.066788848424,1.2910762822538395e-14,6.771675403407598e-05,0.307757571253406,0.00022003278021166326
SII,3,18725.0,4261.0,6.66,4581031.652099244,2.2213935724652003e-15,0.10957882514975124,0.016016310626702997,6.841702043856298
NiII,2,19449.0,1500.0,3.0,1000.0,1.6420447114885769e-15,5.865187429195651e-05,1e-06,58.65187429195652
CoII,2,24500.0,2295.0,3.0,1000.0,2.6108020826441885e-16,0.00037524675137679415,1e-07,3752.4675137679415
